Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
sym_mig	Round_1_Replicate_1	-1205.7	2419.4	3595.84	365.73	1.1009,0.14,0.5132,0.2688
sym_mig	Round_1_Replicate_2	-4800.07	9608.14	18680454.61	232.07	7.6698,0.96,0.1159,0.209
sym_mig	Round_1_Replicate_3	-2778.15	5564.3	112175.57	132.19	0.366,3.5719,0.6402,2.3773
sym_mig	Round_1_Replicate_4	-10171.17	20350.34	6.90625228572e+11	205.75	3.8069,3.0074,2.5596,0.1971
sym_mig	Round_1_Replicate_5	-2139.4	4286.8	45565.54	338.29	1.1077,0.1944,1.5912,0.8895
sym_mig	Round_1_Replicate_6	-8735.86	17479.72	64316876720.9	63.43	4.7822,2.4886,2.0615,7.0263
sym_mig	Round_1_Replicate_7	-2054.39	4116.78	36013.11	174.76	0.9049,2.2691,0.248,0.7341
sym_mig	Round_1_Replicate_8	-2260.49	4528.98	78406.97	975.55	0.2002,0.1325,4.8617,4.4319
sym_mig	Round_1_Replicate_9	-11055.69	22119.38	4.77337070119e+12	63.6	5.8118,3.4268,3.2487,3.8239
sym_mig	Round_1_Replicate_10	-2280.53	4569.06	58593.08	258.51	0.439,1.5627,0.3616,0.2667
sym_mig	Round_1_Replicate_11	-7340.96	14689.92	2186357348.77	122.91	0.5225,8.0002,3.618,3.273
sym_mig	Round_1_Replicate_12	-1580.59	3169.18	7915.77	262.88	0.2765,1.5767,0.2514,0.3243
sym_mig	Round_1_Replicate_13	-3915.16	7838.32	3003422.08	210.6	1.9012,1.6765,0.1573,0.3068
sym_mig	Round_1_Replicate_14	-1208.51	2425.02	5686.29	367.05	0.3196,0.4946,0.1131,0.1865
sym_mig	Round_1_Replicate_15	-829.73	1667.46	1657.45	474.37	0.2249,0.31,0.9151,0.4134
sym_mig	Round_1_Replicate_16	-3132.61	6273.22	445824.82	240.96	0.6401,1.9739,0.2891,0.2358
sym_mig	Round_1_Replicate_17	-1302.92	2613.84	4966.89	134.57	0.8641,2.5353,0.159,1.8528
sym_mig	Round_1_Replicate_18	-3979.58	7967.16	2099824.77	158.47	1.2499,6.1243,0.1271,0.4
sym_mig	Round_1_Replicate_19	-6507.6	13023.2	758660037.19	103.88	1.9977,1.6136,1.9651,5.9647
sym_mig	Round_1_Replicate_20	-3242.09	6492.18	722917.64	162.22	2.0432,0.634,1.1453,3.4922
sym_mig	Round_2_Replicate_1	-798.49	1604.98	1419.75	469.72	0.5242,0.1158,0.604,0.5422
sym_mig	Round_2_Replicate_2	-510.3	1028.6	442.11	758.96	0.1728,0.1089,1.1795,0.5292
sym_mig	Round_2_Replicate_3	-582.08	1172.16	567.59	755.59	0.1077,0.1239,1.6003,0.2707
sym_mig	Round_2_Replicate_4	-423.64	855.28	443.94	465.68	0.3103,0.2482,0.2898,0.7105
sym_mig	Round_2_Replicate_5	-1300.83	2609.66	7427.77	252.43	0.708,0.8184,0.4391,0.8131
sym_mig	Round_2_Replicate_6	-2601.73	5211.46	23155.97	331.44	0.0347,1.2474,1.2599,1.3519
sym_mig	Round_2_Replicate_7	-417.96	843.92	389.94	477.64	0.2807,0.2549,0.2881,0.5322
sym_mig	Round_2_Replicate_8	-1400.75	2809.5	4610.33	516.23	0.0668,0.4827,1.0629,1.3388
sym_mig	Round_2_Replicate_9	-924.53	1857.06	1875.77	307.01	0.1875,0.7996,0.3274,1.3334
sym_mig	Round_2_Replicate_10	-454.6	917.2	357.92	649.95	0.1719,0.1638,0.7795,0.5458
sym_mig	Round_2_Replicate_11	-480.68	969.36	483.68	391.79	0.3039,0.3806,0.3417,1.2063
sym_mig	Round_2_Replicate_12	-731.27	1470.54	1124.87	738.8	0.092,0.2376,1.0476,1.7078
sym_mig	Round_2_Replicate_13	-559.31	1126.62	578.88	553.95	0.1619,0.193,0.7178,0.2183
sym_mig	Round_2_Replicate_14	-468.42	944.84	449.1	397.09	0.4307,0.2542,0.3714,1.4102
sym_mig	Round_2_Replicate_15	-900.87	1809.74	1745.98	559.96	0.1069,0.3286,0.9884,0.646
sym_mig	Round_2_Replicate_16	-474.06	956.12	701.07	489.9	0.331,0.185,0.2518,0.7492
sym_mig	Round_2_Replicate_17	-487.53	983.06	370.8	904.94	0.1089,0.0874,1.5543,0.356
sym_mig	Round_2_Replicate_18	-1172.35	2352.7	3256.2	344.52	0.1754,0.7323,0.6092,0.926
sym_mig	Round_2_Replicate_19	-1525.56	3059.12	6673.86	416.73	0.1099,0.6197,1.0757,0.9578
sym_mig	Round_2_Replicate_20	-409.74	827.48	357.58	590.68	0.2083,0.1563,0.4083,0.3618
sym_mig	Round_2_Replicate_21	-724.73	1457.46	1160.56	462.95	0.2482,0.3221,0.7662,0.5523
sym_mig	Round_2_Replicate_22	-480.51	969.02	392.82	810.48	0.0919,0.0592,1.3846,0.1362
sym_mig	Round_2_Replicate_23	-2150.69	4309.38	64667.41	340.09	0.5575,0.4561,1.308,0.3573
sym_mig	Round_2_Replicate_24	-1399.37	2806.74	5722.96	389.18	0.1498,0.6192,0.9284,0.3747
sym_mig	Round_2_Replicate_25	-1829.65	3667.3	11471.17	325.93	0.1248,1.0364,0.8814,0.3683
sym_mig	Round_2_Replicate_26	-2022.89	4053.78	18135.95	369.2	0.1022,0.8374,1.3068,0.9622
sym_mig	Round_2_Replicate_27	-646.8	1301.6	963.12	467.15	0.4802,0.1381,0.4519,0.5961
sym_mig	Round_2_Replicate_28	-912.65	1833.3	1843.74	294.68	0.3287,0.9182,0.1511,0.4784
sym_mig	Round_2_Replicate_29	-992.03	1992.06	2116.97	364.77	0.1835,0.6623,0.233,0.2654
sym_mig	Round_2_Replicate_30	-552.3	1112.6	525.12	636.04	0.154,0.1562,1.1057,0.2932
sym_mig	Round_3_Replicate_1	-390.32	788.64	299.14	580.11	0.1737,0.1594,0.2071,0.2318
sym_mig	Round_3_Replicate_2	-422.91	853.82	326.79	660.6	0.1611,0.1423,0.667,0.3638
sym_mig	Round_3_Replicate_3	-406.48	820.96	390.2	499.07	0.2682,0.2226,0.2179,0.4155
sym_mig	Round_3_Replicate_4	-422.19	852.38	399.63	543.94	0.2326,0.2027,0.4123,0.6197
sym_mig	Round_3_Replicate_5	-392.59	793.18	290.64	604.38	0.1716,0.1453,0.3413,0.2457
sym_mig	Round_3_Replicate_6	-437.88	883.76	365.21	706.59	0.1609,0.139,0.749,0.6974
sym_mig	Round_3_Replicate_7	-424.13	856.26	374.42	535.58	0.2446,0.2049,0.4401,0.6176
sym_mig	Round_3_Replicate_8	-406.22	820.44	359.54	522.05	0.2485,0.207,0.3001,0.4161
sym_mig	Round_3_Replicate_9	-421.15	850.3	299.91	715.65	0.1215,0.1114,0.7973,0.2308
sym_mig	Round_3_Replicate_10	-427.34	862.68	369.94	592.62	0.218,0.1662,0.5342,0.5635
sym_mig	Round_3_Replicate_11	-435.65	879.3	370.9	661.49	0.1817,0.1503,0.6674,0.8871
sym_mig	Round_3_Replicate_12	-394.8	797.6	339.81	553.31	0.2041,0.1832,0.2162,0.2981
sym_mig	Round_3_Replicate_13	-414.99	837.98	339.62	607.95	0.1923,0.161,0.5165,0.403
sym_mig	Round_3_Replicate_14	-437.55	883.1	375.83	722.34	0.1579,0.1353,0.7415,0.8486
sym_mig	Round_3_Replicate_15	-418.92	845.84	323.61	659.41	0.164,0.1361,0.6418,0.3394
sym_mig	Round_3_Replicate_16	-394.28	796.56	279.18	658.69	0.1283,0.1192,0.4133,0.1897
sym_mig	Round_3_Replicate_17	-411.37	830.74	373.47	534.81	0.2439,0.1992,0.3528,0.4665
sym_mig	Round_3_Replicate_18	-434.97	877.94	380.53	684.95	0.1705,0.139,0.677,0.6508
sym_mig	Round_3_Replicate_19	-393.11	794.22	307.22	558.72	0.1982,0.1657,0.1783,0.2444
sym_mig	Round_3_Replicate_20	-418.86	845.72	332.93	614.31	0.1883,0.1601,0.5613,0.4069
sym_mig	Round_3_Replicate_21	-409.46	826.92	308.6	615.5	0.1746,0.1562,0.5223,0.3233
sym_mig	Round_3_Replicate_22	-408.95	825.9	382.67	513.69	0.2566,0.2152,0.2921,0.4575
sym_mig	Round_3_Replicate_23	-404.32	816.64	362.81	538.78	0.2296,0.1991,0.3084,0.4023
sym_mig	Round_3_Replicate_24	-429.66	867.32	336.57	687.58	0.1445,0.1385,0.7324,0.3592
sym_mig	Round_3_Replicate_25	-401.96	811.92	314.89	574.67	0.204,0.1694,0.3874,0.3292
sym_mig	Round_3_Replicate_26	-394.84	797.68	316.74	574.72	0.1965,0.1666,0.3042,0.2946
sym_mig	Round_3_Replicate_27	-429.1	866.2	350.35	618.1	0.1974,0.1602,0.6074,0.5177
sym_mig	Round_3_Replicate_28	-404.52	817.04	386.35	514.8	0.2465,0.2161,0.2359,0.4054
sym_mig	Round_3_Replicate_29	-390.59	789.18	273.33	636.27	0.1306,0.1205,0.259,0.1691
sym_mig	Round_3_Replicate_30	-413.11	834.22	403.69	512.83	0.266,0.2112,0.3015,0.4969
sym_mig	Round_3_Replicate_31	-412.12	832.24	315.39	604.55	0.1837,0.1634,0.5179,0.3508
sym_mig	Round_3_Replicate_32	-389.59	787.18	275.35	617.02	0.1513,0.134,0.2931,0.2018
sym_mig	Round_3_Replicate_33	-417.32	842.64	419.88	458.09	0.3096,0.2656,0.2262,0.5357
sym_mig	Round_3_Replicate_34	-406.35	820.7	356.62	535.06	0.241,0.1957,0.324,0.4084
sym_mig	Round_3_Replicate_35	-436.52	881.04	374.41	704.5	0.1635,0.1357,0.7214,0.683
sym_mig	Round_3_Replicate_36	-425.42	858.84	370.85	622.82	0.1851,0.1643,0.5579,0.5187
sym_mig	Round_3_Replicate_37	-435.92	879.84	372.28	664.93	0.184,0.1463,0.6714,0.8872
sym_mig	Round_3_Replicate_38	-403.5	815.0	310.13	633.81	0.1643,0.1417,0.4934,0.2888
sym_mig	Round_3_Replicate_39	-445.17	898.34	356.8	704.25	0.1749,0.1321,0.8105,0.6739
sym_mig	Round_3_Replicate_40	-419.07	846.14	427.19	459.92	0.3069,0.2645,0.2497,0.5864
sym_mig	Round_3_Replicate_41	-390.42	788.84	281.88	618.75	0.1543,0.1367,0.3247,0.2164
sym_mig	Round_3_Replicate_42	-416.61	841.22	359.34	586.46	0.2005,0.179,0.4721,0.4598
sym_mig	Round_3_Replicate_43	-422.53	853.06	364.47	547.8	0.236,0.1968,0.4553,0.5589
sym_mig	Round_3_Replicate_44	-389.52	787.04	292.77	610.43	0.1515,0.1369,0.2117,0.1983
sym_mig	Round_3_Replicate_45	-418.35	844.7	325.92	638.13	0.1765,0.1448,0.6021,0.3626
sym_mig	Round_3_Replicate_46	-397.09	802.18	313.09	582.95	0.1931,0.1638,0.3535,0.3027
sym_mig	Round_3_Replicate_47	-399.51	807.02	335.83	542.67	0.2255,0.1895,0.2873,0.347
sym_mig	Round_3_Replicate_48	-408.05	824.1	354.49	553.52	0.2222,0.1908,0.3736,0.4202
sym_mig	Round_3_Replicate_49	-416.17	840.34	367.09	519.67	0.2416,0.2229,0.3637,0.4954
sym_mig	Round_3_Replicate_50	-425.75	859.5	394.43	550.43	0.2355,0.1938,0.4493,0.6948
