Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
sym_mig	Round_1_Replicate_1	-988.24	1984.48	2438.99	363.07	0.8835,0.2083,0.4335,0.3818
sym_mig	Round_1_Replicate_2	-3451.52	6911.04	385906.47	288.65	0.0887,2.1867,2.4954,2.28
sym_mig	Round_1_Replicate_3	-4127.17	8262.34	4909917.09	104.67	0.7419,3.8326,0.9708,4.6154
sym_mig	Round_1_Replicate_4	-6581.99	13171.98	1172613785.44	202.11	2.6197,0.4305,4.8936,4.4805
sym_mig	Round_1_Replicate_5	-3358.83	6725.66	1262389.46	209.41	0.8968,1.3696,1.0136,0.7364
sym_mig	Round_1_Replicate_6	-936.67	1881.34	2167.74	182.1	1.4786,0.1985,0.1654,5.4609
sym_mig	Round_1_Replicate_7	-3454.18	6916.36	1234001.0	311.15	1.5778,0.216,2.8427,2.8059
sym_mig	Round_1_Replicate_8	-4916.22	9840.44	15735983.95	144.47	0.2818,6.5719,2.2188,2.6002
sym_mig	Round_1_Replicate_9	-3905.79	7819.58	1888635.2	217.26	0.2979,6.6114,1.2678,0.2371
sym_mig	Round_1_Replicate_10	-1118.5	2245.0	2578.15	351.45	0.1502,0.8189,0.1808,0.2584
sym_mig	Round_1_Replicate_11	-7530.11	15068.22	9801277129.86	94.71	4.5694,1.9397,1.6779,2.6096
sym_mig	Round_1_Replicate_12	-3233.53	6475.06	480215.07	235.25	6.9549,0.1951,1.9221,0.6564
sym_mig	Round_1_Replicate_13	-6320.51	12649.02	571534782.6	251.91	0.4507,1.7341,4.147,0.3801
sym_mig	Round_1_Replicate_14	-10073.22	20154.44	9.41467036158e+11	213.32	6.9408,3.8869,0.8669,0.1606
sym_mig	Round_1_Replicate_15	-2417.24	4842.48	82065.63	151.07	4.6971,0.4574,0.6333,1.7766
sym_mig	Round_1_Replicate_16	-1304.82	2617.64	4539.87	113.41	0.5509,2.4372,0.2159,6.0303
sym_mig	Round_1_Replicate_17	-4829.57	9667.14	33195187.0	135.26	1.2793,1.3903,1.5898,4.9537
sym_mig	Round_1_Replicate_18	-845.18	1698.36	1577.71	187.23	1.2913,0.3793,0.3202,7.1786
sym_mig	Round_1_Replicate_19	-2416.41	4840.82	65887.36	245.52	5.9648,0.2132,1.0039,0.4394
sym_mig	Round_1_Replicate_20	-1835.78	3679.56	11494.41	213.14	2.1819,0.1433,0.7441,6.8765
sym_mig	Round_2_Replicate_1	-531.81	1071.62	852.77	117.89	1.341,0.6715,0.0756,10.4691
sym_mig	Round_2_Replicate_2	-1522.9	3053.8	12523.39	278.85	0.9607,0.2986,0.9203,6.1731
sym_mig	Round_2_Replicate_3	-693.93	1395.86	995.28	239.15	0.455,0.692,0.3506,4.6308
sym_mig	Round_2_Replicate_4	-474.04	956.08	578.5	254.23	0.6878,0.5014,0.1577,2.1643
sym_mig	Round_2_Replicate_5	-1857.71	3723.42	12289.23	340.08	1.3732,0.0906,1.2243,4.9343
sym_mig	Round_2_Replicate_6	-573.4	1154.8	686.17	213.9	0.5746,0.8387,0.1887,2.7561
sym_mig	Round_2_Replicate_7	-589.99	1187.98	671.73	152.89	1.0418,0.7415,0.2143,9.982
sym_mig	Round_2_Replicate_8	-523.08	1054.16	879.65	173.89	0.7256,0.9949,0.0805,3.4469
sym_mig	Round_2_Replicate_9	-480.12	968.24	620.52	219.99	0.8417,0.5409,0.1316,2.7217
sym_mig	Round_2_Replicate_10	-467.5	943.0	427.8	151.54	0.8803,0.6635,0.1525,15.8374
sym_mig	Round_2_Replicate_11	-794.55	1597.1	1445.74	213.75	1.0365,0.4091,0.3619,5.1015
sym_mig	Round_2_Replicate_12	-934.41	1876.82	1884.24	211.1	1.2185,0.1899,0.296,23.2483
sym_mig	Round_2_Replicate_13	-996.3	2000.6	2170.56	256.41	1.2269,0.2216,0.4018,2.3611
sym_mig	Round_2_Replicate_14	-1422.75	2853.5	6470.93	394.42	0.8439,0.1279,1.1017,2.9797
sym_mig	Round_2_Replicate_15	-552.54	1113.08	790.03	123.43	0.6845,1.1668,0.0916,10.5376
sym_mig	Round_2_Replicate_16	-472.68	953.36	624.11	233.38	0.7299,0.5651,0.1314,2.4229
sym_mig	Round_2_Replicate_17	-588.41	1184.82	1540.0	235.46	0.8314,0.4038,0.0753,2.5822
sym_mig	Round_2_Replicate_18	-464.27	936.54	454.29	369.25	0.3349,0.2771,0.3445,5.2263
sym_mig	Round_2_Replicate_19	-850.25	1708.5	1527.04	219.57	1.1143,0.2736,0.3623,10.094
sym_mig	Round_2_Replicate_20	-609.35	1226.7	799.18	109.1	2.0829,0.7164,0.1075,8.5347
sym_mig	Round_2_Replicate_21	-481.03	970.06	572.19	119.82	1.5373,0.9603,0.0808,6.3802
sym_mig	Round_2_Replicate_22	-870.18	1748.36	1645.11	260.91	1.1486,0.1936,0.2782,2.3435
sym_mig	Round_2_Replicate_23	-516.42	1040.84	567.0	139.95	1.2007,0.5689,0.1415,13.2412
sym_mig	Round_2_Replicate_24	-1161.62	2331.24	3315.67	273.89	1.0757,0.1891,0.6055,16.4537
sym_mig	Round_2_Replicate_25	-463.83	935.66	575.68	255.83	0.6108,0.4853,0.1603,2.5616
sym_mig	Round_2_Replicate_26	-574.59	1157.18	685.48	182.4	1.1676,0.5861,0.1803,3.6783
sym_mig	Round_2_Replicate_27	-988.86	1985.72	2376.5	329.94	0.8145,0.2058,0.6366,2.359
sym_mig	Round_2_Replicate_28	-497.93	1003.86	538.06	118.15	1.3277,0.6942,0.1145,17.5392
sym_mig	Round_2_Replicate_29	-1980.03	3968.06	12356.58	337.12	1.5597,0.0687,1.2495,25.5595
sym_mig	Round_2_Replicate_30	-692.84	1393.68	1052.22	132.67	1.0479,1.0597,0.2117,10.2741
sym_mig	Round_3_Replicate_1	-459.79	927.58	480.6	255.84	0.5358,0.4485,0.2044,3.7721
sym_mig	Round_3_Replicate_2	-499.22	1006.44	920.09	175.16	1.0538,0.7706,0.0683,3.1723
sym_mig	Round_3_Replicate_3	-474.29	956.58	616.77	259.72	0.6666,0.5098,0.1471,1.9849
sym_mig	Round_3_Replicate_4	-459.65	927.3	492.47	283.72	0.4926,0.4053,0.2194,3.0729
sym_mig	Round_3_Replicate_5	-459.67	927.34	494.51	278.77	0.5075,0.414,0.2136,3.0646
sym_mig	Round_3_Replicate_6	-470.79	949.58	540.76	402.15	0.3106,0.3355,0.2865,1.365
sym_mig	Round_3_Replicate_7	-459.66	927.32	490.1	293.67	0.4784,0.3903,0.2282,2.9173
sym_mig	Round_3_Replicate_8	-484.08	976.16	615.4	174.55	0.8794,0.8744,0.1028,3.4778
sym_mig	Round_3_Replicate_9	-460.56	929.12	521.05	253.39	0.5558,0.4468,0.1863,3.5558
sym_mig	Round_3_Replicate_10	-459.78	927.56	485.65	237.32	0.5768,0.484,0.1875,4.1508
sym_mig	Round_3_Replicate_11	-493.95	995.9	715.07	264.78	0.7343,0.409,0.1457,2.0808
sym_mig	Round_3_Replicate_12	-460.95	929.9	501.71	171.01	0.8577,0.7117,0.1259,5.1618
sym_mig	Round_3_Replicate_13	-459.71	927.42	493.78	335.36	0.421,0.3517,0.2552,2.1866
sym_mig	Round_3_Replicate_14	-473.54	955.08	575.07	222.86	0.7824,0.5682,0.14,2.7009
sym_mig	Round_3_Replicate_15	-461.11	930.22	515.83	114.55	1.2665,1.0804,0.0817,8.1464
sym_mig	Round_3_Replicate_16	-466.69	941.38	448.31	345.95	0.3456,0.3354,0.3192,3.6997
sym_mig	Round_3_Replicate_17	-469.47	946.94	480.81	258.62	0.4393,0.4428,0.2287,6.032
sym_mig	Round_3_Replicate_18	-466.95	941.9	622.78	280.45	0.5714,0.4499,0.1607,2.0534
sym_mig	Round_3_Replicate_19	-465.77	939.54	533.83	129.02	1.2566,0.9529,0.0881,6.2879
sym_mig	Round_3_Replicate_20	-474.84	957.68	579.78	197.19	0.8106,0.7178,0.1213,3.1082
sym_mig	Round_3_Replicate_21	-474.18	956.36	565.54	286.3	0.4099,0.3754,0.2205,4.5223
sym_mig	Round_3_Replicate_22	-462.5	933.0	557.28	210.85	0.688,0.5384,0.1445,4.2251
sym_mig	Round_3_Replicate_23	-460.6	929.2	513.05	238.92	0.5803,0.5082,0.1744,3.5622
sym_mig	Round_3_Replicate_24	-495.29	998.58	734.61	265.08	0.7239,0.5228,0.1191,1.5161
sym_mig	Round_3_Replicate_25	-459.72	927.44	491.82	150.12	0.9225,0.7722,0.1162,7.0514
sym_mig	Round_3_Replicate_26	-466.79	941.58	492.21	410.36	0.3782,0.2536,0.3336,1.5848
sym_mig	Round_3_Replicate_27	-460.76	929.52	484.53	133.79	1.0783,0.8203,0.107,8.3687
sym_mig	Round_3_Replicate_28	-471.84	951.68	597.26	199.48	0.8555,0.6504,0.1188,3.1347
sym_mig	Round_3_Replicate_29	-471.71	951.42	602.36	297.77	0.5781,0.4341,0.1717,1.6111
sym_mig	Round_3_Replicate_30	-459.85	927.7	499.24	215.23	0.6604,0.549,0.1617,4.1874
