Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
sym_mig	Round_3_Replicate_6	-406.04	820.08	352.32	521.75	0.23,0.2298,0.1051,0.3205
sym_mig	Round_3_Replicate_7	-406.22	820.44	315.72	518.15	0.254,0.2311,0.2418,0.4092
sym_mig	Round_3_Replicate_8	-399.33	806.66	316.25	555.72	0.2176,0.2013,0.2248,0.3444
sym_mig	Round_3_Replicate_9	-400.2	808.4	314.52	534.08	0.2329,0.2171,0.1956,0.3505
sym_mig	Round_3_Replicate_10	-385.91	779.82	239.48	616.93	0.1546,0.148,0.2047,0.2023
sym_mig	Round_3_Replicate_11	-389.2	786.4	246.39	582.11	0.1809,0.1731,0.2011,0.2373
sym_mig	Round_3_Replicate_12	-400.48	808.96	304.11	523.35	0.236,0.2219,0.1434,0.3149
sym_mig	Round_3_Replicate_13	-414.14	836.28	338.49	510.05	0.2778,0.2298,0.2672,0.4753
sym_mig	Round_3_Replicate_14	-391.84	791.68	251.36	604.04	0.1777,0.1662,0.3196,0.2692
sym_mig	Round_3_Replicate_15	-390.85	789.7	257.17	585.78	0.193,0.1704,0.2529,0.268
sym_mig	Round_3_Replicate_16	-392.89	793.78	240.19	605.18	0.177,0.1634,0.345,0.2611
sym_mig	Round_3_Replicate_17	-396.62	801.24	248.07	581.36	0.196,0.1788,0.3295,0.2877
sym_mig	Round_3_Replicate_18	-405.35	818.7	337.34	518.61	0.2556,0.2262,0.1937,0.3906
sym_mig	Round_3_Replicate_19	-387.97	783.94	249.49	591.01	0.1725,0.1656,0.1778,0.2237
sym_mig	Round_3_Replicate_20	-416.88	841.76	336.75	586.12	0.195,0.2,0.3829,0.4335
sym_mig	Round_3_Replicate_21	-399.82	807.64	302.1	534.37	0.2347,0.2156,0.214,0.3513
sym_mig	Round_3_Replicate_22	-403.45	814.9	316.28	513.45	0.2431,0.2348,0.1449,0.3356
sym_mig	Round_3_Replicate_23	-412.46	832.92	346.79	503.36	0.262,0.2516,0.2379,0.4671
sym_mig	Round_3_Replicate_24	-410.16	828.32	302.05	553.73	0.2311,0.2058,0.3529,0.4256
sym_mig	Round_3_Replicate_25	-386.67	781.34	224.97	649.61	0.1401,0.1299,0.3152,0.1904
sym_mig	Round_3_Replicate_26	-401.14	810.28	293.48	582.76	0.2011,0.1869,0.3286,0.3506
sym_mig	Round_3_Replicate_27	-400.37	808.74	283.4	545.0	0.2295,0.2067,0.2688,0.3509
sym_mig	Round_3_Replicate_28	-392.77	793.54	226.87	652.32	0.1481,0.1332,0.4258,0.2153
sym_mig	Round_3_Replicate_29	-396.73	801.46	237.48	639.28	0.1565,0.1482,0.4447,0.2479
sym_mig	Round_3_Replicate_30	-405.98	819.96	314.15	517.75	0.2246,0.2352,0.1153,0.2991
sym_mig	Round_3_Replicate_31	-397.53	803.06	289.87	550.03	0.2231,0.2023,0.2381,0.3354
sym_mig	Round_3_Replicate_32	-406.02	820.04	328.29	525.41	0.2478,0.2259,0.2395,0.4125
sym_mig	Round_3_Replicate_33	-388.94	785.88	231.85	625.47	0.1573,0.1497,0.3309,0.2261
sym_mig	Round_3_Replicate_34	-396.96	801.92	296.13	539.92	0.227,0.2066,0.1744,0.313
sym_mig	Round_3_Replicate_35	-416.18	840.36	301.39	599.3	0.2085,0.1758,0.4542,0.42
sym_mig	Round_3_Replicate_36	-425.02	858.04	290.47	558.0	0.2089,0.2149,0.4361,0.3822
sym_mig	Round_3_Replicate_37	-388.53	785.06	230.47	632.8	0.1565,0.1416,0.3342,0.2188
sym_mig	Round_3_Replicate_38	-386.32	780.64	238.28	614.6	0.1531,0.149,0.1922,0.1979
sym_mig	Round_3_Replicate_39	-397.31	802.62	266.08	569.95	0.2034,0.192,0.3042,0.317
sym_mig	Round_3_Replicate_40	-386.82	781.64	225.64	657.81	0.1348,0.1253,0.3188,0.1835
sym_mig	Round_3_Replicate_41	-401.03	810.06	283.67	570.92	0.2117,0.1915,0.3256,0.3531
sym_mig	Round_3_Replicate_42	-398.86	805.72	278.85	547.05	0.226,0.2042,0.2596,0.3372
sym_mig	Round_3_Replicate_43	-393.54	795.08	241.89	626.03	0.1656,0.1532,0.3864,0.2553
sym_mig	Round_3_Replicate_44	-401.28	810.56	245.66	637.26	0.1679,0.1475,0.4733,0.2696
sym_mig	Round_3_Replicate_45	-386.81	781.62	229.75	628.17	0.1533,0.1444,0.2949,0.2113
sym_mig	Round_3_Replicate_46	-406.9	821.8	300.11	516.9	0.2452,0.2373,0.2471,0.3864
sym_mig	Round_3_Replicate_47	-391.27	790.54	256.46	582.84	0.1943,0.1741,0.2597,0.2736
sym_mig	Round_3_Replicate_48	-409.03	826.06	284.81	617.23	0.1896,0.1659,0.4525,0.3571
sym_mig	Round_3_Replicate_49	-392.1	792.2	239.05	618.74	0.1691,0.155,0.3606,0.2515
sym_mig	Round_3_Replicate_50	-405.55	819.1	335.5	509.07	0.2569,0.2378,0.1692,0.3801
