Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
sym_mig	Round_1_Replicate_1	-4233.97	8475.94	5784428.46	429.46	0.3703,0.3012,4.932,0.1599
sym_mig	Round_1_Replicate_2	-7873.16	15754.32	8742823890.98	78.88	5.7952,1.7122,1.835,5.9287
sym_mig	Round_1_Replicate_3	-4499.68	9007.36	9665995.09	303.89	1.4671,0.2854,3.531,5.4494
sym_mig	Round_1_Replicate_4	-2335.93	4679.86	17148.44	166.22	0.2174,3.5803,0.3827,1.2207
sym_mig	Round_1_Replicate_5	-1580.01	3168.02	15251.17	462.19	0.4002,0.2443,1.5958,0.302
sym_mig	Round_1_Replicate_6	-3055.34	6118.68	321442.15	321.85	2.1013,0.1627,2.4293,1.4816
sym_mig	Round_1_Replicate_7	-11307.88	22623.76	3.86566687416e+12	180.74	5.4353,2.1831,4.102,0.3747
sym_mig	Round_1_Replicate_8	-2335.66	4679.32	17630.85	125.2	0.2472,3.8992,0.3327,3.1021
sym_mig	Round_1_Replicate_9	-847.93	1703.86	1698.93	161.09	2.4371,0.7166,0.1113,2.1019
sym_mig	Round_1_Replicate_10	-8640.81	17289.62	25412580038.0	176.84	1.6876,4.3168,2.1614,0.4019
sym_mig	Round_1_Replicate_11	-2803.59	5615.18	96540.93	252.56	5.2337,0.1123,1.9053,6.3291
sym_mig	Round_1_Replicate_12	-1743.23	3494.46	6944.65	100.49	0.6737,5.0101,0.1288,2.6319
sym_mig	Round_1_Replicate_13	-1464.11	2936.22	5756.46	213.35	4.2562,0.3484,0.2189,0.7207
sym_mig	Round_1_Replicate_14	-1700.18	3408.36	18326.77	290.74	1.0336,0.2909,1.0091,5.4173
sym_mig	Round_1_Replicate_15	-1670.3	3348.6	6741.54	156.93	0.2762,1.9561,0.3346,5.9535
sym_mig	Round_1_Replicate_16	-3280.05	6568.1	768667.8	204.07	1.3426,1.5134,0.6176,0.6346
sym_mig	Round_1_Replicate_17	-633.43	1274.86	950.23	211.53	1.3664,0.6347,0.1158,1.7085
sym_mig	Round_1_Replicate_18	-2387.06	4782.12	83504.3	216.41	2.7966,0.4289,0.7844,0.9909
sym_mig	Round_1_Replicate_19	-9872.63	19753.26	2.27365224209e+11	149.33	1.177,3.8129,4.7008,1.0411
sym_mig	Round_1_Replicate_20	-10392.24	20792.48	8.35735795703e+11	222.61	4.7274,1.1449,5.3186,0.2949
