Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
sym_mig	Round_1_Replicate_1	-533.32	1074.64	521.42	406.46	0.4534,0.1966,0.4548,3.491
sym_mig	Round_1_Replicate_2	-3522.68	7053.36	951249.77	176.44	3.7296,0.4424,1.2467,1.7443
sym_mig	Round_1_Replicate_3	-1728.0	3464.0	10766.26	187.3	0.501,2.6103,0.196,0.7129
sym_mig	Round_1_Replicate_4	-2357.92	4723.84	30639.69	206.85	0.2982,5.8168,0.1512,0.2838
sym_mig	Round_1_Replicate_5	-2857.14	5722.28	319044.11	319.61	0.6605,0.557,1.4539,0.3829
sym_mig	Round_1_Replicate_6	-8350.04	16708.08	12228537015.8	147.88	1.0648,4.5799,2.8041,0.8124
sym_mig	Round_1_Replicate_7	-1641.35	3290.7	9261.66	235.16	4.4827,0.3436,0.1848,0.4468
sym_mig	Round_1_Replicate_8	-445.83	899.66	367.12	573.9	0.2392,0.1873,0.5058,0.6593
sym_mig	Round_1_Replicate_9	-2460.68	4929.36	103196.96	158.82	0.8056,1.891,0.5535,2.0059
sym_mig	Round_1_Replicate_10	-2362.22	4732.44	30397.47	299.35	0.122,1.6127,0.9534,0.262
sym_mig	Round_1_Replicate_11	-2588.85	5185.7	163993.06	444.63	0.3737,0.2409,2.8302,0.2086
sym_mig	Round_1_Replicate_12	-3081.52	6171.04	515534.39	78.39	3.0391,3.2863,0.289,3.9103
sym_mig	Round_1_Replicate_13	-2247.62	4503.24	44147.79	200.92	0.5757,2.6644,0.2552,0.484
sym_mig	Round_1_Replicate_14	-937.57	1883.14	2458.3	765.87	0.1839,0.1918,1.5729,2.6149
sym_mig	Round_1_Replicate_15	-788.57	1585.14	1357.63	257.93	1.4009,0.3889,0.1107,0.8987
sym_mig	Round_1_Replicate_16	-2002.97	4013.94	9671.88	94.65	0.3053,4.6448,0.1756,4.3612
sym_mig	Round_1_Replicate_17	-851.43	1710.86	1738.85	646.12	0.1889,0.1338,1.7484,0.2736
sym_mig	Round_1_Replicate_18	-1353.51	2715.02	3610.96	210.34	2.493,0.1831,0.2672,1.6104
sym_mig	Round_1_Replicate_19	-5400.29	10808.58	40403400.2	223.28	0.5116,4.0662,1.7305,0.2529
sym_mig	Round_1_Replicate_20	-5144.32	10296.64	31170523.39	175.45	3.929,1.4997,0.706,0.528
sym_mig	Round_2_Replicate_1	-1024.87	2057.74	2388.61	577.0	0.3855,0.0892,1.3524,0.3838
sym_mig	Round_2_Replicate_2	-435.47	878.94	435.36	520.2	0.2712,0.2204,0.3107,0.5761
sym_mig	Round_2_Replicate_3	-447.45	902.9	442.6	550.47	0.2352,0.2064,0.4125,0.8462
sym_mig	Round_2_Replicate_4	-704.32	1416.64	1057.75	578.9	0.2531,0.1911,1.0562,0.5974
sym_mig	Round_2_Replicate_5	-638.15	1284.3	1018.74	507.36	0.1485,0.3255,0.1369,0.3483
sym_mig	Round_2_Replicate_6	-447.35	902.7	405.87	490.47	0.2801,0.2252,0.4037,1.3789
sym_mig	Round_2_Replicate_7	-448.08	904.16	400.3	507.76	0.2407,0.2588,0.2902,0.4469
sym_mig	Round_2_Replicate_8	-498.92	1005.84	408.51	636.93	0.2313,0.141,0.7916,0.5287
sym_mig	Round_2_Replicate_9	-436.85	881.7	424.43	493.3	0.3037,0.2352,0.2812,0.5685
sym_mig	Round_2_Replicate_10	-827.88	1663.76	1419.25	584.37	0.393,0.1073,1.0223,0.9229
sym_mig	Round_2_Replicate_11	-562.94	1133.88	517.17	742.21	0.163,0.1252,1.2851,0.42
sym_mig	Round_2_Replicate_12	-449.71	907.42	472.97	334.23	0.4151,0.3349,0.2378,2.6053
sym_mig	Round_2_Replicate_13	-488.47	984.94	365.0	1039.15	0.0851,0.0677,1.6854,0.2858
sym_mig	Round_2_Replicate_14	-615.73	1239.46	735.51	521.34	0.2731,0.2384,0.7586,0.7104
sym_mig	Round_2_Replicate_15	-584.51	1177.02	627.12	527.86	0.3254,0.1902,0.7322,1.7707
sym_mig	Round_2_Replicate_16	-559.55	1127.1	549.25	754.59	0.2217,0.1246,1.0341,1.641
sym_mig	Round_2_Replicate_17	-554.82	1117.64	1179.11	315.66	0.5234,0.2871,0.1261,2.2616
sym_mig	Round_2_Replicate_18	-491.47	990.94	839.05	355.38	0.4672,0.3063,0.1556,1.5658
sym_mig	Round_2_Replicate_19	-503.32	1014.64	411.22	873.49	0.1669,0.1124,1.1155,1.2818
sym_mig	Round_2_Replicate_20	-535.8	1079.6	636.02	290.35	0.6099,0.5593,0.1693,1.1861
sym_mig	Round_2_Replicate_21	-762.37	1532.74	1225.37	359.01	0.8231,0.2324,0.2962,0.5969
sym_mig	Round_2_Replicate_22	-451.42	910.84	374.47	996.51	0.1262,0.096,0.9878,1.4957
sym_mig	Round_2_Replicate_23	-545.25	1098.5	848.2	570.81	0.1698,0.1626,0.3788,2.8423
sym_mig	Round_2_Replicate_24	-448.15	904.3	576.39	528.45	0.2711,0.1959,0.1227,0.3875
sym_mig	Round_2_Replicate_25	-932.87	1873.74	2276.54	291.44	0.9126,0.3203,0.4848,1.6684
sym_mig	Round_2_Replicate_26	-475.04	958.08	492.32	335.45	0.5501,0.3603,0.2257,1.3974
sym_mig	Round_2_Replicate_27	-441.89	891.78	380.25	522.69	0.2084,0.2385,0.146,0.2983
sym_mig	Round_2_Replicate_28	-684.59	1377.18	1027.03	484.79	0.373,0.1811,0.5791,0.2952
sym_mig	Round_2_Replicate_29	-434.69	877.38	287.73	686.93	0.1488,0.1282,0.7124,0.2679
sym_mig	Round_2_Replicate_30	-647.38	1302.76	914.51	333.08	0.7811,0.3465,0.1644,0.6152
sym_mig	Round_3_Replicate_1	-429.3	866.6	314.34	654.63	0.1751,0.1451,0.5836,0.3449
sym_mig	Round_3_Replicate_2	-465.88	939.76	350.31	884.16	0.1154,0.0879,1.1653,0.3469
sym_mig	Round_3_Replicate_3	-430.65	869.3	309.04	692.72	0.1548,0.129,0.6621,0.3074
sym_mig	Round_3_Replicate_4	-410.81	829.62	324.03	611.0	0.1846,0.1586,0.3282,0.2924
sym_mig	Round_3_Replicate_5	-411.19	830.38	274.65	692.48	0.1342,0.113,0.5102,0.2036
sym_mig	Round_3_Replicate_6	-413.82	835.64	313.23	631.9	0.1773,0.1485,0.4168,0.2954
sym_mig	Round_3_Replicate_7	-459.02	926.04	354.43	865.13	0.1304,0.1055,0.9991,0.5983
sym_mig	Round_3_Replicate_8	-453.87	915.74	340.67	788.11	0.1351,0.1115,0.9166,0.3882
sym_mig	Round_3_Replicate_9	-416.93	841.86	315.53	610.74	0.1917,0.1617,0.4138,0.326
sym_mig	Round_3_Replicate_10	-408.66	825.32	255.55	697.05	0.1215,0.1009,0.4653,0.1626
sym_mig	Round_3_Replicate_11	-449.56	907.12	353.44	722.1	0.1691,0.1269,0.752,0.5107
sym_mig	Round_3_Replicate_12	-459.74	927.48	369.65	1122.64	0.1003,0.0778,1.2698,0.726
sym_mig	Round_3_Replicate_13	-415.4	838.8	272.54	701.62	0.1252,0.1135,0.5629,0.1987
sym_mig	Round_3_Replicate_14	-420.31	848.62	311.18	598.02	0.2019,0.1683,0.4244,0.3403
sym_mig	Round_3_Replicate_15	-459.07	926.14	355.54	985.55	0.1164,0.0924,1.133,0.7324
sym_mig	Round_3_Replicate_16	-443.5	895.0	344.41	714.58	0.1613,0.1286,0.7229,0.418
sym_mig	Round_3_Replicate_17	-448.05	904.1	311.13	764.61	0.1326,0.1029,0.9304,0.2731
sym_mig	Round_3_Replicate_18	-432.54	873.08	307.59	709.26	0.1492,0.1211,0.7079,0.2941
sym_mig	Round_3_Replicate_19	-425.7	859.4	304.87	637.47	0.1833,0.148,0.5409,0.3282
sym_mig	Round_3_Replicate_20	-463.38	934.76	332.82	804.68	0.1356,0.1022,1.0511,0.3598
sym_mig	Round_3_Replicate_21	-464.48	936.96	347.82	879.59	0.1195,0.0934,1.1303,0.399
sym_mig	Round_3_Replicate_22	-455.18	918.36	342.29	801.31	0.1338,0.1071,0.9454,0.3883
sym_mig	Round_3_Replicate_23	-423.92	855.84	387.33	539.18	0.2507,0.2045,0.2819,0.4271
sym_mig	Round_3_Replicate_24	-423.35	854.7	341.69	591.97	0.2088,0.1762,0.4113,0.3903
sym_mig	Round_3_Replicate_25	-451.39	910.78	352.55	761.39	0.1523,0.1169,0.8247,0.4649
sym_mig	Round_3_Replicate_26	-460.23	928.46	357.59	971.79	0.1179,0.0901,1.135,0.6567
sym_mig	Round_3_Replicate_27	-450.96	909.92	379.57	1129.98	0.1097,0.0862,1.0992,1.6294
sym_mig	Round_3_Replicate_28	-467.15	942.3	354.53	948.58	0.1114,0.0863,1.2254,0.4469
sym_mig	Round_3_Replicate_29	-463.44	934.88	357.9	923.42	0.1172,0.0911,1.132,0.4887
sym_mig	Round_3_Replicate_30	-445.59	899.18	351.06	692.15	0.1729,0.1398,0.6889,0.4967
sym_mig	Round_3_Replicate_31	-441.68	891.36	327.91	733.04	0.1436,0.122,0.7712,0.3379
sym_mig	Round_3_Replicate_32	-438.36	884.72	306.21	747.53	0.1289,0.1105,0.8217,0.2632
sym_mig	Round_3_Replicate_33	-422.34	852.68	266.89	750.0	0.1012,0.0847,0.7158,0.1465
sym_mig	Round_3_Replicate_34	-467.88	943.76	351.13	940.12	0.1111,0.088,1.2322,0.4358
sym_mig	Round_3_Replicate_35	-460.6	929.2	343.84	835.27	0.1289,0.1034,1.0289,0.4243
sym_mig	Round_3_Replicate_36	-472.42	952.84	362.63	951.84	0.1039,0.0786,1.3043,0.3444
sym_mig	Round_3_Replicate_37	-442.87	893.74	334.47	676.34	0.174,0.144,0.6768,0.4322
sym_mig	Round_3_Replicate_38	-453.23	914.46	339.76	765.72	0.1462,0.1176,0.8738,0.4298
sym_mig	Round_3_Replicate_39	-417.26	842.52	308.79	617.74	0.181,0.1611,0.4258,0.3106
sym_mig	Round_3_Replicate_40	-455.47	918.94	322.59	787.89	0.1271,0.1065,0.9922,0.3114
sym_mig	Round_3_Replicate_41	-462.74	933.48	352.26	871.22	0.1163,0.0943,1.0954,0.3719
sym_mig	Round_3_Replicate_42	-442.41	892.82	354.63	657.69	0.1886,0.1506,0.6172,0.5111
sym_mig	Round_3_Replicate_43	-441.67	891.34	289.35	799.26	0.0898,0.0748,1.0237,0.1426
sym_mig	Round_3_Replicate_44	-455.17	918.34	367.29	1101.23	0.1066,0.0848,1.174,0.9672
sym_mig	Round_3_Replicate_45	-453.75	915.5	323.67	762.58	0.1321,0.1166,0.9202,0.3276
sym_mig	Round_3_Replicate_46	-406.53	821.06	251.28	687.53	0.1186,0.0997,0.3667,0.1483
sym_mig	Round_3_Replicate_47	-432.05	872.1	296.08	704.13	0.1458,0.1226,0.7146,0.2768
sym_mig	Round_3_Replicate_48	-440.57	889.14	380.29	632.31	0.1993,0.1616,0.5383,0.5563
sym_mig	Round_3_Replicate_49	-422.75	853.5	266.71	747.82	0.1029,0.0882,0.725,0.1535
sym_mig	Round_3_Replicate_50	-409.53	827.06	275.52	674.52	0.1447,0.1201,0.4692,0.2162
