Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
sym_mig	Round_1_Replicate_1	-2676.54	5361.08	180019.9	213.34	3.0691,0.7987,0.4201,0.4927
sym_mig	Round_1_Replicate_2	-2555.13	5118.26	159780.55	107.1	2.993,2.5535,0.24,1.9295
sym_mig	Round_1_Replicate_3	-3134.46	6276.92	565665.06	205.2	2.1828,0.5479,1.1884,1.2996
sym_mig	Round_1_Replicate_4	-1920.08	3848.16	8371.58	215.93	0.1646,2.66,0.3449,0.6173
sym_mig	Round_1_Replicate_5	-1866.97	3741.94	22725.12	385.79	0.1982,0.6721,1.4146,2.5637
sym_mig	Round_1_Replicate_6	-813.33	1634.66	1605.24	320.34	0.486,0.6329,0.298,0.5974
sym_mig	Round_1_Replicate_7	-7072.08	14152.16	1699789024.8	146.65	1.8504,5.6698,1.1916,0.5282
sym_mig	Round_1_Replicate_8	-853.83	1715.66	1647.16	514.98	0.2089,0.3292,1.0251,0.9358
sym_mig	Round_1_Replicate_9	-1067.54	2143.08	2317.93	313.29	0.1851,0.853,0.4286,1.3703
sym_mig	Round_1_Replicate_10	-2549.27	5106.54	85541.06	363.13	0.13,0.933,1.9615,0.5149
sym_mig	Round_1_Replicate_11	-822.66	1653.32	1603.59	260.07	0.7391,0.4778,0.4703,3.2171
sym_mig	Round_1_Replicate_12	-613.62	1235.24	1208.87	459.73	0.3026,0.1974,0.2281,1.6051
sym_mig	Round_1_Replicate_13	-1768.54	3545.08	14825.18	150.82	0.4544,2.0832,0.4385,3.7917
sym_mig	Round_1_Replicate_14	-8773.03	17554.06	56838617941.9	229.69	0.9085,2.5771,4.994,0.2635
sym_mig	Round_1_Replicate_15	-3175.68	6359.36	201092.42	258.91	0.1081,4.5948,1.6821,0.2113
sym_mig	Round_1_Replicate_16	-2806.31	5620.62	314090.62	88.93	3.529,2.729,0.2766,2.8891
sym_mig	Round_1_Replicate_17	-474.76	957.52	514.78	441.92	0.3418,0.3088,0.18,0.5118
sym_mig	Round_1_Replicate_18	-4058.57	8125.14	3486711.6	321.6	3.8286,0.2254,3.1205,0.1849
sym_mig	Round_1_Replicate_19	-1140.5	2289.0	2833.02	433.06	0.7159,0.116,0.6071,0.1924
sym_mig	Round_1_Replicate_20	-1347.17	2702.34	6318.43	580.24	0.1467,0.3766,1.5997,1.7733
sym_mig	Round_2_Replicate_1	-913.56	1835.12	1672.66	344.41	1.0936,0.2076,0.1463,0.4513
sym_mig	Round_2_Replicate_2	-468.55	945.1	433.24	542.9	0.2606,0.2099,0.4573,0.6877
sym_mig	Round_2_Replicate_3	-774.17	1556.34	1337.26	448.39	0.579,0.1395,0.3418,0.603
sym_mig	Round_2_Replicate_4	-964.07	1936.14	2266.62	303.57	0.9869,0.3258,0.4622,0.9965
sym_mig	Round_2_Replicate_5	-614.31	1236.62	758.37	329.81	0.7188,0.3287,0.2867,1.1133
sym_mig	Round_2_Replicate_6	-476.97	961.94	561.89	494.36	0.2846,0.2498,0.3098,0.7533
sym_mig	Round_2_Replicate_7	-456.38	920.76	428.94	555.44	0.218,0.168,0.0692,0.2201
sym_mig	Round_2_Replicate_8	-607.39	1222.78	826.76	471.01	0.4561,0.1732,0.3102,0.5212
sym_mig	Round_2_Replicate_9	-1120.65	2249.3	4086.1	240.81	1.3297,0.7758,0.0681,0.5996
sym_mig	Round_2_Replicate_10	-568.78	1145.56	920.03	289.4	0.7487,0.5023,0.0887,1.0518
sym_mig	Round_2_Replicate_11	-545.86	1099.72	777.24	402.41	0.3112,0.436,0.0766,0.5069
sym_mig	Round_2_Replicate_12	-508.3	1024.6	595.39	402.35	0.3652,0.3925,0.1005,0.4935
sym_mig	Round_2_Replicate_13	-603.84	1215.68	723.04	401.65	0.3226,0.43,0.1604,0.3609
sym_mig	Round_2_Replicate_14	-490.74	989.48	645.38	422.6	0.3527,0.3426,0.1504,0.608
sym_mig	Round_2_Replicate_15	-546.91	1101.82	760.26	248.87	0.7429,0.6773,0.1155,1.5179
sym_mig	Round_2_Replicate_16	-517.23	1042.46	577.83	415.48	0.4219,0.3122,0.071,0.3981
sym_mig	Round_2_Replicate_17	-494.76	997.52	427.83	542.23	0.2201,0.2477,0.5696,0.9748
sym_mig	Round_2_Replicate_18	-472.71	953.42	456.69	492.35	0.2891,0.2405,0.4076,1.0502
sym_mig	Round_2_Replicate_19	-431.73	871.46	312.75	648.58	0.128,0.1161,0.1945,0.1455
sym_mig	Round_2_Replicate_20	-713.31	1434.62	1080.99	448.57	0.5488,0.1581,0.2249,0.3682
sym_mig	Round_2_Replicate_21	-432.14	872.28	298.7	599.25	0.1667,0.1512,0.261,0.1925
sym_mig	Round_2_Replicate_22	-717.14	1442.28	1097.07	318.91	0.9162,0.3699,0.0907,0.5485
sym_mig	Round_2_Replicate_23	-622.19	1252.38	1486.32	362.27	0.3743,0.4954,0.0423,0.7363
sym_mig	Round_2_Replicate_24	-971.57	1951.14	3077.49	330.25	0.1471,0.5295,0.1384,2.4557
sym_mig	Round_2_Replicate_25	-530.45	1068.9	645.45	203.58	0.9658,0.7215,0.1245,2.4728
sym_mig	Round_2_Replicate_26	-517.94	1043.88	602.58	478.13	0.3787,0.2,0.3624,0.8945
sym_mig	Round_2_Replicate_27	-889.32	1786.64	1687.03	262.97	0.3743,1.1735,0.0437,0.6925
sym_mig	Round_2_Replicate_28	-497.66	1003.32	641.33	342.09	0.4637,0.4345,0.1828,1.2057
sym_mig	Round_2_Replicate_29	-675.41	1358.82	965.64	447.13	0.2358,0.3342,0.1009,0.2035
sym_mig	Round_2_Replicate_30	-2039.06	4086.12	50287.85	216.98	1.0421,1.1107,0.5325,0.8375
sym_mig	Round_3_Replicate_1	-432.81	873.62	321.31	594.65	0.1861,0.1652,0.3464,0.2515
sym_mig	Round_3_Replicate_2	-432.95	873.9	314.9	599.98	0.1789,0.1656,0.3742,0.2497
sym_mig	Round_3_Replicate_3	-435.76	879.52	315.47	665.26	0.111,0.1038,0.1606,0.1238
sym_mig	Round_3_Replicate_4	-438.26	884.52	365.29	592.83	0.1617,0.1617,0.1225,0.1947
sym_mig	Round_3_Replicate_5	-445.22	898.44	305.81	700.48	0.083,0.078,0.1876,0.0884
sym_mig	Round_3_Replicate_6	-435.7	879.4	308.47	653.35	0.116,0.1086,0.1511,0.1262
sym_mig	Round_3_Replicate_7	-433.74	875.48	309.97	636.47	0.1269,0.1233,0.1605,0.1429
sym_mig	Round_3_Replicate_8	-442.16	892.32	384.48	594.4	0.1694,0.1497,0.0827,0.1866
sym_mig	Round_3_Replicate_9	-430.31	868.62	320.67	630.99	0.1444,0.1301,0.206,0.1692
sym_mig	Round_3_Replicate_10	-437.77	883.54	352.96	596.9	0.1617,0.1501,0.1057,0.1802
sym_mig	Round_3_Replicate_11	-427.48	862.96	303.43	641.91	0.1448,0.134,0.3541,0.1909
sym_mig	Round_3_Replicate_12	-442.1	892.2	324.96	682.88	0.0956,0.091,0.1229,0.1048
sym_mig	Round_3_Replicate_13	-433.53	875.06	325.46	603.29	0.1594,0.1454,0.1571,0.1783
sym_mig	Round_3_Replicate_14	-433.74	875.48	332.57	610.24	0.1568,0.1398,0.1516,0.1752
sym_mig	Round_3_Replicate_15	-431.64	871.28	328.14	607.62	0.1553,0.1499,0.1863,0.1871
sym_mig	Round_3_Replicate_16	-433.48	874.96	316.26	625.19	0.1367,0.131,0.1526,0.1539
sym_mig	Round_3_Replicate_17	-430.22	868.44	326.08	649.05	0.1322,0.1246,0.2337,0.1647
sym_mig	Round_3_Replicate_18	-442.91	893.82	393.26	587.96	0.1761,0.1555,0.0862,0.1967
sym_mig	Round_3_Replicate_19	-434.27	876.54	332.23	616.69	0.1503,0.1345,0.1414,0.1665
sym_mig	Round_3_Replicate_20	-433.36	874.72	320.28	580.95	0.1872,0.1746,0.2945,0.2432
sym_mig	Round_3_Replicate_21	-436.45	880.9	295.25	700.19	0.0936,0.0866,0.2961,0.107
sym_mig	Round_3_Replicate_22	-433.56	875.12	328.05	629.39	0.1361,0.1299,0.1464,0.1563
sym_mig	Round_3_Replicate_23	-427.94	863.88	310.32	633.3	0.1435,0.1355,0.2706,0.1801
sym_mig	Round_3_Replicate_24	-431.22	870.44	295.36	680.48	0.1073,0.1083,0.3404,0.1368
sym_mig	Round_3_Replicate_25	-434.74	877.48	301.1	665.32	0.1097,0.103,0.1903,0.1214
sym_mig	Round_3_Replicate_26	-433.39	874.78	313.38	662.0	0.1167,0.1078,0.1878,0.1326
sym_mig	Round_3_Replicate_27	-436.33	880.66	305.29	678.45	0.1021,0.0959,0.195,0.1139
sym_mig	Round_3_Replicate_28	-432.49	872.98	328.33	591.78	0.1731,0.1575,0.1914,0.2023
sym_mig	Round_3_Replicate_29	-431.61	871.22	323.93	591.59	0.1719,0.1619,0.2174,0.209
sym_mig	Round_3_Replicate_30	-438.83	885.66	315.98	637.23	0.1187,0.1212,0.1222,0.1317
sym_mig	Round_3_Replicate_31	-438.42	884.84	312.49	670.47	0.1042,0.0977,0.1451,0.1131
sym_mig	Round_3_Replicate_32	-438.37	884.74	312.55	653.47	0.1132,0.1061,0.122,0.1203
sym_mig	Round_3_Replicate_33	-438.58	885.16	316.38	632.93	0.1261,0.1186,0.1057,0.1325
sym_mig	Round_3_Replicate_34	-430.31	868.62	321.71	603.02	0.1626,0.1555,0.2283,0.2015
sym_mig	Round_3_Replicate_35	-428.2	864.4	316.41	650.84	0.1391,0.1282,0.324,0.183
sym_mig	Round_3_Replicate_36	-430.73	869.46	308.36	612.64	0.153,0.1413,0.206,0.1756
sym_mig	Round_3_Replicate_37	-437.15	882.3	347.69	607.99	0.1631,0.1375,0.1349,0.1769
sym_mig	Round_3_Replicate_38	-432.04	872.08	343.96	595.45	0.1761,0.1587,0.2115,0.2177
sym_mig	Round_3_Replicate_39	-442.71	893.42	390.03	582.41	0.1757,0.1623,0.0828,0.1988
sym_mig	Round_3_Replicate_40	-435.2	878.4	334.59	643.1	0.1252,0.1225,0.1394,0.1462
sym_mig	Round_3_Replicate_41	-427.96	863.92	313.36	635.02	0.1454,0.1338,0.2748,0.1821
sym_mig	Round_3_Replicate_42	-428.84	865.68	307.25	611.9	0.1636,0.151,0.3096,0.2095
sym_mig	Round_3_Replicate_43	-433.81	875.62	296.29	636.49	0.1306,0.118,0.1891,0.1396
sym_mig	Round_3_Replicate_44	-435.93	879.86	312.18	661.55	0.1103,0.1062,0.1562,0.1234
sym_mig	Round_3_Replicate_45	-430.04	868.08	290.23	662.75	0.1166,0.1109,0.2748,0.1372
sym_mig	Round_3_Replicate_46	-436.1	880.2	329.62	630.47	0.1304,0.1276,0.1195,0.1471
sym_mig	Round_3_Replicate_47	-434.52	877.04	331.24	631.22	0.133,0.1293,0.1375,0.1535
sym_mig	Round_3_Replicate_48	-432.59	873.18	341.76	608.56	0.1579,0.148,0.1696,0.1892
sym_mig	Round_3_Replicate_49	-428.45	864.9	293.32	641.35	0.1382,0.1236,0.2847,0.1619
sym_mig	Round_3_Replicate_50	-430.48	868.96	321.92	599.33	0.1743,0.1545,0.2509,0.2127
