Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
sym_mig	Round_1_Replicate_1	-5707.12	11422.24	169796199.92	264.09	0.208,3.1887,5.3143,0.2254
sym_mig	Round_1_Replicate_2	-3202.56	6413.12	1014492.7	404.09	0.7709,0.1831,3.8594,0.5031
sym_mig	Round_1_Replicate_3	-8636.35	17280.7	1.00436260094e+11	112.55	2.6541,3.4685,2.2043,1.1396
sym_mig	Round_1_Replicate_4	-3186.11	6380.22	355915.02	139.12	0.3213,4.1223,0.8903,1.6803
sym_mig	Round_1_Replicate_5	-2885.08	5778.16	435272.93	82.95	5.7332,2.432,0.2355,2.3561
sym_mig	Round_1_Replicate_6	-912.24	1832.48	1810.5	290.81	1.465,0.2452,0.0965,0.4846
sym_mig	Round_1_Replicate_7	-4511.27	9030.54	23095016.94	289.7	0.8315,0.4978,3.2771,0.6784
sym_mig	Round_1_Replicate_8	-768.88	1545.76	2413.62	525.07	0.1595,0.2184,0.1832,1.0033
sym_mig	Round_1_Replicate_9	-488.62	985.24	598.55	423.81	0.4221,0.2306,0.2783,0.756
sym_mig	Round_1_Replicate_10	-2252.88	4513.76	112478.57	109.75	3.0116,1.6755,0.314,2.3032
sym_mig	Round_1_Replicate_11	-6125.62	12259.24	545810737.29	200.09	0.4536,1.5936,4.2901,5.5445
sym_mig	Round_1_Replicate_12	-763.01	1534.02	1240.16	442.76	0.2192,0.3721,0.7684,6.4188
sym_mig	Round_1_Replicate_13	-3148.29	6304.58	833615.93	422.2	0.2434,0.5406,3.1446,6.5529
sym_mig	Round_1_Replicate_14	-6586.41	13180.82	1903862919.76	233.76	2.0024,0.6917,3.715,0.417
sym_mig	Round_1_Replicate_15	-702.13	1412.26	1249.49	221.63	1.3571,0.335,0.1399,1.8463
sym_mig	Round_1_Replicate_16	-7848.95	15705.9	16839435619.1	93.26	3.0761,5.6645,1.2218,1.2434
sym_mig	Round_1_Replicate_17	-6863.51	13735.02	2294792113.93	165.34	4.4965,3.6125,0.3816,0.327
sym_mig	Round_1_Replicate_18	-2469.62	4947.24	162465.13	182.79	2.9779,0.7448,0.5664,0.7982
sym_mig	Round_1_Replicate_19	-9829.36	19666.72	9.46002653808e+11	211.22	1.7349,3.96,4.2215,0.1838
sym_mig	Round_1_Replicate_20	-1438.49	2884.98	7142.58	350.99	1.0089,0.1235,1.0568,2.6262
sym_mig	Round_2_Replicate_1	-1440.81	2889.62	5604.3	379.62	1.1356,0.0879,0.9418,0.2798
sym_mig	Round_2_Replicate_2	-905.37	1818.74	1952.81	300.03	1.2857,0.2794,0.1361,0.4251
sym_mig	Round_2_Replicate_3	-571.67	1151.34	851.54	252.35	0.7315,0.2503,0.208,4.3269
sym_mig	Round_2_Replicate_4	-1146.78	2301.56	4686.14	248.02	1.0866,0.3041,0.6282,3.2799
sym_mig	Round_2_Replicate_5	-436.15	880.3	338.2	642.03	0.1595,0.1286,0.6139,0.2682
sym_mig	Round_2_Replicate_6	-464.04	936.08	332.86	731.63	0.1246,0.1073,1.0536,0.2607
sym_mig	Round_2_Replicate_7	-464.96	937.92	478.39	304.28	0.4911,0.3762,0.2439,2.1907
sym_mig	Round_2_Replicate_8	-1637.9	3283.8	23184.13	285.4	0.8778,0.4115,0.9555,1.056
sym_mig	Round_2_Replicate_9	-506.32	1020.64	617.38	180.42	0.9412,0.8035,0.1159,2.9007
sym_mig	Round_2_Replicate_10	-818.61	1645.22	1849.46	443.35	0.3823,0.2547,0.9263,1.1724
