Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
sym_mig	Round_1_Replicate_1	-2801.53	5611.06	132004.73	110.23	0.7062,5.3117,0.3805,1.8288
sym_mig	Round_1_Replicate_2	-1012.91	2033.82	2384.06	212.64	0.2818,1.4354,0.1079,1.7791
sym_mig	Round_1_Replicate_3	-1572.5	3153.0	15668.37	270.61	1.067,0.4665,0.6964,1.0995
sym_mig	Round_1_Replicate_4	-3854.7	7717.4	2763905.09	192.53	1.1002,2.2201,0.7118,0.5427
sym_mig	Round_1_Replicate_5	-2424.66	4857.32	72367.61	322.38	3.0522,0.1908,1.2051,0.2153
sym_mig	Round_1_Replicate_6	-6089.44	12186.88	205586738.66	136.81	6.9203,3.8847,0.1455,0.5457
sym_mig	Round_1_Replicate_7	-609.74	1227.48	1007.16	403.99	0.3025,0.1761,0.2656,5.7873
sym_mig	Round_1_Replicate_8	-3829.53	7667.06	2491042.95	177.66	3.5446,1.8298,0.1541,0.4833
sym_mig	Round_1_Replicate_9	-5634.6	11277.2	104081319.57	182.87	5.7715,1.7337,0.5114,0.395
sym_mig	Round_1_Replicate_10	-5969.66	11947.32	190250849.07	77.58	4.6431,6.6916,0.387,1.6881
sym_mig	Round_1_Replicate_11	-3050.75	6109.5	485481.34	284.92	1.3261,0.3331,1.8041,1.2365
sym_mig	Round_1_Replicate_12	-5857.88	11723.76	206308921.7	231.33	0.6758,0.9373,3.5217,2.3685
sym_mig	Round_1_Replicate_13	-7136.6	14281.2	2475611768.02	280.76	3.3014,0.5654,3.9455,0.191
sym_mig	Round_1_Replicate_14	-1571.82	3151.64	4371.07	198.07	6.1213,0.2388,0.117,0.7565
sym_mig	Round_1_Replicate_15	-2082.76	4173.52	33917.7	250.8	1.6881,0.2153,1.0889,8.4538
sym_mig	Round_1_Replicate_16	-2945.71	5899.42	263342.12	116.16	2.1275,4.7841,0.111,1.0297
sym_mig	Round_1_Replicate_17	-804.74	1617.48	1571.96	690.05	0.2054,0.2092,1.2579,3.0213
sym_mig	Round_1_Replicate_18	-1567.46	3142.92	9163.9	377.45	1.2384,0.1498,0.7411,0.1981
sym_mig	Round_1_Replicate_19	-2292.92	4593.84	53873.66	356.77	1.3594,0.1434,1.7562,0.8064
sym_mig	Round_1_Replicate_20	-3580.22	7168.44	533391.28	185.78	0.1853,3.7405,1.4286,1.2622
sym_mig	Round_2_Replicate_1	-655.03	1318.06	815.69	647.49	0.3021,0.1341,0.9362,2.3396
sym_mig	Round_2_Replicate_2	-474.77	957.54	442.85	626.85	0.1923,0.1656,0.5581,10.9252
sym_mig	Round_2_Replicate_3	-484.37	976.74	464.28	747.06	0.1445,0.1533,0.6652,27.2959
sym_mig	Round_2_Replicate_4	-627.66	1263.32	1058.13	505.34	0.1664,0.1888,0.3287,6.3043
sym_mig	Round_2_Replicate_5	-649.77	1307.54	827.77	472.65	0.2804,0.2978,0.7078,7.4859
sym_mig	Round_2_Replicate_6	-481.48	970.96	491.25	151.09	0.7823,0.6846,0.1247,16.1116
sym_mig	Round_2_Replicate_7	-533.37	1074.74	674.68	649.74	0.2126,0.1169,0.5165,19.5042
sym_mig	Round_2_Replicate_8	-539.29	1086.58	724.57	516.11	0.1853,0.2105,0.3673,3.1171
sym_mig	Round_2_Replicate_9	-741.23	1490.46	1172.52	382.13	0.5199,0.2519,0.6332,12.9881
sym_mig	Round_2_Replicate_10	-499.85	1007.7	479.19	433.67	0.3578,0.1969,0.4212,9.8156
sym_mig	Round_2_Replicate_11	-1103.32	2214.64	4340.17	331.62	0.5312,0.4096,0.7792,3.2821
sym_mig	Round_2_Replicate_12	-715.75	1439.5	1050.03	308.49	0.6518,0.2994,0.4878,7.8835
sym_mig	Round_2_Replicate_13	-811.08	1630.16	1713.75	391.38	0.1234,0.3587,0.2749,7.3646
sym_mig	Round_2_Replicate_14	-879.78	1767.56	2080.9	418.4	0.106,0.3146,0.2709,7.1645
sym_mig	Round_2_Replicate_15	-567.73	1143.46	820.49	1013.31	0.0904,0.0979,0.7179,8.7586
sym_mig	Round_2_Replicate_16	-466.5	941.0	429.02	328.03	0.4212,0.3428,0.2699,3.3064
sym_mig	Round_2_Replicate_17	-518.24	1044.48	553.9	175.02	0.9061,0.4463,0.1627,27.8064
sym_mig	Round_2_Replicate_18	-618.98	1245.96	709.23	410.14	0.459,0.2215,0.5638,18.2699
