Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
sym_mig	Round_1_Replicate_1	-1110.6	2229.2	2756.52	239.29	0.3286,1.0409,0.3933,2.2252
sym_mig	Round_1_Replicate_2	-2140.03	4288.06	51352.66	122.16	3.4718,1.1436,0.3394,2.3225
sym_mig	Round_1_Replicate_3	-6688.85	13385.7	856509796.73	300.51	3.3516,0.3827,5.0453,0.1693
sym_mig	Round_1_Replicate_4	-2211.42	4430.84	38496.52	245.29	2.7513,0.2114,1.0448,0.942
sym_mig	Round_1_Replicate_5	-3104.16	6216.32	342350.57	250.39	0.3065,1.4417,1.4542,0.9335
sym_mig	Round_1_Replicate_6	-7764.59	15537.18	7673281483.03	172.19	3.2155,0.7251,4.1025,1.547
sym_mig	Round_1_Replicate_7	-6840.68	13689.36	1008009446.0	221.44	3.3047,2.3457,0.1364,0.1939
sym_mig	Round_1_Replicate_8	-505.13	1018.26	611.83	340.29	0.4917,0.4322,0.1944,1.0288
sym_mig	Round_1_Replicate_9	-3279.53	6567.06	514273.22	204.16	0.6205,2.4207,0.7731,0.4966
sym_mig	Round_1_Replicate_10	-2004.08	4016.16	18607.29	234.87	2.2227,0.1461,1.0112,7.6252
sym_mig	Round_1_Replicate_11	-2697.32	5402.64	125373.93	289.36	6.6272,0.1876,1.4646,0.2541
sym_mig	Round_1_Replicate_12	-1357.82	2723.64	5648.5	587.48	0.1209,0.3102,1.8519,0.5092
sym_mig	Round_1_Replicate_13	-4601.69	9211.38	11830455.33	76.66	1.5623,3.6819,0.7814,8.0291
sym_mig	Round_1_Replicate_14	-1947.75	3903.5	38369.7	293.98	0.7071,0.6036,0.9313,0.646
sym_mig	Round_1_Replicate_15	-4903.74	9815.48	19911945.43	349.53	0.2508,0.8849,4.5107,1.4352
sym_mig	Round_1_Replicate_16	-3295.31	6598.62	228804.46	191.76	0.1936,3.616,1.1786,0.8005
sym_mig	Round_1_Replicate_17	-5591.83	11191.66	59208433.72	156.9	0.3659,3.8931,2.7303,5.985
sym_mig	Round_1_Replicate_18	-764.76	1537.52	1366.17	117.46	1.6577,1.2728,0.1601,5.445
sym_mig	Round_1_Replicate_19	-848.64	1705.28	1559.88	284.03	0.372,0.6364,0.4909,3.6877
sym_mig	Round_1_Replicate_20	-753.72	1515.44	1148.05	449.14	0.5204,0.1424,0.2222,0.2138
sym_mig	Round_2_Replicate_1	-859.0	1726.0	1720.43	187.93	1.6023,0.5328,0.2437,2.4306
sym_mig	Round_2_Replicate_2	-811.36	1630.72	2332.74	418.61	0.1818,0.4332,0.1355,0.9923
sym_mig	Round_2_Replicate_3	-1443.97	2895.94	8589.62	183.31	1.3,1.5796,0.0821,0.8304
sym_mig	Round_2_Replicate_4	-424.25	856.5	332.92	582.2	0.1904,0.1658,0.2659,0.2517
sym_mig	Round_2_Replicate_5	-524.84	1057.68	627.21	409.34	0.5007,0.2375,0.3102,0.8921
sym_mig	Round_2_Replicate_6	-511.13	1030.26	749.64	356.35	0.4955,0.3944,0.1294,0.8296
sym_mig	Round_2_Replicate_7	-463.72	935.44	404.45	558.54	0.2392,0.1877,0.5732,2.6318
sym_mig	Round_2_Replicate_8	-814.45	1636.9	1493.19	225.19	1.649,0.4825,0.0927,1.0744
