Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
sym_mig	Round_1_Replicate_1	-1423.86	2855.72	6479.46	270.56	0.304,1.1187,0.4934,0.7516
sym_mig	Round_1_Replicate_2	-4155.53	8319.06	2292029.59	230.52	0.1547,2.9318,2.6293,4.0959
sym_mig	Round_1_Replicate_3	-6603.02	13214.04	1055532440.31	167.08	1.6071,1.3112,2.3721,1.3042
sym_mig	Round_1_Replicate_4	-942.69	1893.38	2547.83	496.29	0.3388,0.1656,1.141,0.255
sym_mig	Round_1_Replicate_5	-6641.62	13291.24	895426647.86	230.3	1.3819,1.9825,1.6025,0.2214
sym_mig	Round_1_Replicate_6	-3354.78	6717.56	665405.75	245.87	0.2773,1.5747,1.6479,0.9335
sym_mig	Round_1_Replicate_7	-7032.9	14073.8	2009319637.28	240.57	3.8823,0.9828,2.0485,0.2124
sym_mig	Round_1_Replicate_8	-2805.23	5618.46	248506.57	200.08	1.2485,2.0721,0.0916,0.4065
sym_mig	Round_1_Replicate_9	-1538.46	3084.92	11752.22	412.16	0.1965,0.4482,1.1145,0.1928
sym_mig	Round_1_Replicate_10	-3386.34	6780.68	982361.37	348.79	1.2456,0.2183,2.9305,0.2877
sym_mig	Round_1_Replicate_11	-2913.97	5835.94	371310.1	329.78	1.1399,0.3153,1.7527,0.2551
sym_mig	Round_1_Replicate_12	-441.16	890.32	414.1	517.62	0.2684,0.1985,0.2216,0.354
sym_mig	Round_1_Replicate_13	-1709.36	3426.72	6459.77	103.3	0.3217,3.6125,0.1731,4.6598
sym_mig	Round_1_Replicate_14	-1841.87	3691.74	19638.38	97.75	0.7671,2.8615,0.3053,7.495
sym_mig	Round_1_Replicate_15	-2788.82	5585.64	267335.55	665.03	0.3822,0.1128,5.1917,0.6297
sym_mig	Round_1_Replicate_16	-4627.9	9263.8	13126406.82	124.67	6.1004,0.5437,1.6866,5.3678
sym_mig	Round_1_Replicate_17	-2213.41	4434.82	42647.54	185.69	4.2943,0.361,0.6325,1.0605
sym_mig	Round_1_Replicate_18	-1630.94	3269.88	5461.92	100.11	0.2974,3.9857,0.0928,3.9521
sym_mig	Round_1_Replicate_19	-7359.27	14726.54	3586917462.05	146.11	2.7682,2.753,1.3713,0.661
sym_mig	Round_1_Replicate_20	-1892.35	3792.7	31353.28	113.89	3.4459,1.5704,0.2033,2.0911
sym_mig	Round_2_Replicate_1	-425.5	859.0	334.05	585.9	0.1806,0.1689,0.3132,0.2665
sym_mig	Round_2_Replicate_2	-616.2	1240.4	1581.88	412.0	0.4781,0.2345,0.0885,0.743
sym_mig	Round_2_Replicate_3	-462.57	933.14	402.63	560.26	0.2332,0.1936,0.5346,1.0441
sym_mig	Round_2_Replicate_4	-705.81	1419.62	1083.03	432.19	0.4409,0.2357,0.7047,1.3366
