Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, T1, T2)
no_mig_size	Round_3_Replicate_16	-920.44	1852.88	1863.03	230.58	1.413,1.8644,0.8521,0.7251,0.5141,0.3334
no_mig_size	Round_3_Replicate_17	-1261.62	2535.24	15054.6	425.24	0.2465,3.233,0.1971,0.3208,0.3863,0.4308
no_mig_size	Round_3_Replicate_18	-879.94	1771.88	3833.23	395.21	0.3309,0.3796,0.4972,0.3123,0.4964,0.1767
no_mig_size	Round_3_Replicate_19	-813.7	1639.4	1692.62	188.81	2.834,1.7128,0.3578,1.0144,1.2736,0.204
no_mig_size	Round_3_Replicate_20	-696.62	1405.24	1784.58	242.5	1.7043,2.2623,0.5009,0.3713,1.1803,0.266
no_mig_size	Round_3_Replicate_21	-1661.82	3335.64	96325.0	347.65	2.9293,0.3692,0.2236,0.469,0.7272,0.711
no_mig_size	Round_3_Replicate_22	-1412.17	2836.34	36576.02	229.71	0.2348,0.4752,0.4375,1.1682,0.3311,1.0871
no_mig_size	Round_3_Replicate_23	-864.65	1741.3	1490.96	311.46	1.932,2.5758,0.2331,0.5097,0.3482,0.1784
no_mig_size	Round_3_Replicate_24	-1068.17	2148.34	10201.84	378.57	1.384,0.4666,0.4143,0.3381,0.0781,0.8369
no_mig_size	Round_3_Replicate_25	-676.51	1365.02	999.1	402.3	0.3734,1.1589,0.4532,0.2298,0.253,0.17
no_mig_size	Round_3_Replicate_26	-781.13	1574.26	1511.68	280.93	1.49,2.4555,0.8077,0.5007,0.1626,0.6294
no_mig_size	Round_3_Replicate_27	-1408.44	2828.88	12195.99	216.22	0.3838,0.3501,0.3272,1.5996,0.0775,1.0485
no_mig_size	Round_3_Replicate_28	-980.3	1972.6	2098.53	293.93	2.0199,1.8092,0.562,0.6791,0.0976,0.365
no_mig_size	Round_3_Replicate_29	-713.11	1438.22	1177.25	407.48	3.2011,0.7892,0.3849,0.2131,0.1807,0.2327
no_mig_size	Round_3_Replicate_30	-649.86	1311.72	1032.66	403.21	1.1761,1.3123,0.3146,0.1892,0.3361,0.1767
no_mig_size	Round_4_Replicate_1	-627.3	1266.6	930.4	483.54	1.8486,5.8842,0.2382,0.2056,0.0866,0.2355
no_mig_size	Round_4_Replicate_2	-618.55	1249.1	921.14	539.95	2.4147,2.623,0.1803,0.1371,0.0856,0.1614
no_mig_size	Round_4_Replicate_3	-626.48	1264.96	950.93	507.37	2.2514,6.3081,0.2243,0.1705,0.0806,0.2077
