Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12a, m21a, m12b, m21b, T1, T2)
asym_mig_twoepoch	Round_3_Replicate_9	-1050.51	2117.02	2365.18	732.46	0.046,0.2175,0.2747,1.044,0.8481,0.2452,0.4378,4.4059
asym_mig_twoepoch	Round_3_Replicate_10	-885.22	1786.44	1615.8	827.0	0.0399,0.231,0.9968,2.203,1.8816,0.0956,0.105,0.6087
asym_mig_twoepoch	Round_3_Replicate_11	-725.21	1466.42	828.19	550.64	0.1408,0.3962,0.9388,5.4892,1.6092,0.0653,0.2162,2.7758
asym_mig_twoepoch	Round_3_Replicate_12	-663.65	1343.3	790.04	1516.45	0.0653,0.1099,0.0863,6.3537,3.1323,0.2251,0.1136,3.3503
asym_mig_twoepoch	Round_3_Replicate_13	-692.27	1400.54	823.9	1431.48	0.0782,0.1071,1.3571,1.0562,2.9066,0.8793,0.1318,3.5568
asym_mig_twoepoch	Round_3_Replicate_14	-776.22	1568.44	1323.8	614.43	0.1285,0.2368,0.0891,4.067,0.623,0.0762,0.3305,1.2872
asym_mig_twoepoch	Round_3_Replicate_15	-729.15	1474.3	1249.3	488.2	0.2596,0.1962,0.9744,2.8979,0.5462,0.1626,0.4006,2.4999
asym_mig_twoepoch	Round_3_Replicate_16	-910.38	1836.76	1958.64	959.34	0.094,0.0805,0.4682,1.0557,0.7776,0.3495,0.7785,0.8692
asym_mig_twoepoch	Round_3_Replicate_17	-1275.97	2567.94	5478.06	789.16	0.1922,0.1818,0.2749,0.7512,4.3112,0.2854,0.0647,0.5462
asym_mig_twoepoch	Round_3_Replicate_18	-735.3	1486.6	925.13	616.52	0.1742,0.3079,0.5112,4.2111,1.7078,0.07,0.1999,2.7387
asym_mig_twoepoch	Round_3_Replicate_19	-1476.74	2969.48	5056.32	1381.72	0.0277,0.0568,0.6292,0.5724,1.1985,0.1184,0.3441,4.1586
asym_mig_twoepoch	Round_3_Replicate_20	-781.63	1579.26	1432.89	636.12	0.1585,0.1505,0.3119,1.0221,0.6088,0.2005,0.0685,1.404
asym_mig_twoepoch	Round_3_Replicate_21	-1661.92	3339.84	14428.3	462.68	0.2533,0.4354,0.5318,2.5028,2.568,0.8829,0.1291,7.5727
asym_mig_twoepoch	Round_3_Replicate_22	-885.29	1786.58	1619.03	1340.03	0.1294,0.0808,0.1559,1.0354,3.147,0.2333,0.7845,0.9378
asym_mig_twoepoch	Round_3_Replicate_23	-880.8	1777.6	1199.02	1296.75	0.0461,0.1999,1.0449,1.1911,5.5651,0.2008,0.2037,1.5286
asym_mig_twoepoch	Round_3_Replicate_24	-686.75	1389.5	833.69	1116.93	0.0782,0.1677,0.1967,3.1101,2.5112,0.0659,0.0822,6.113
asym_mig_twoepoch	Round_3_Replicate_25	-794.21	1604.42	1295.7	674.81	0.26,0.15,0.117,2.9635,1.268,0.3449,0.2037,7.4651
asym_mig_twoepoch	Round_3_Replicate_26	-743.71	1503.42	1008.31	1833.09	0.0622,0.099,1.2962,2.9429,4.7349,0.0753,0.4718,7.772
asym_mig_twoepoch	Round_3_Replicate_27	-720.43	1456.86	1137.92	2479.46	0.0382,0.0488,0.5089,0.8182,3.4858,0.4516,0.0816,1.6388
asym_mig_twoepoch	Round_3_Replicate_28	-740.67	1497.34	1182.71	1435.97	0.0581,0.0765,0.1478,2.0571,1.3811,0.8121,0.5109,2.5698
asym_mig_twoepoch	Round_3_Replicate_29	-828.55	1673.1	1281.18	512.23	0.2099,0.3381,0.6813,0.5579,1.9247,0.1306,0.7947,0.5828
asym_mig_twoepoch	Round_3_Replicate_30	-1095.94	2207.88	2634.4	1501.51	0.152,0.0706,0.742,1.1595,3.7665,0.0968,0.8322,2.1578
asym_mig_twoepoch	Round_4_Replicate_1	-673.65	1363.3	874.58	1191.17	0.0857,0.1279,0.08,5.7419,2.2191,0.1461,0.1037,4.462
