Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T1, T2)
sec_contact_sym_mig	Round_4_Replicate_3	-645.69	1301.38	858.08	382.91	0.4171,0.3819,0.0654,0.1491,0.4058
sec_contact_sym_mig	Round_4_Replicate_4	-617.29	1244.58	840.88	482.03	0.2861,0.2391,0.0797,0.0817,0.2636
sec_contact_sym_mig	Round_4_Replicate_5	-627.78	1265.56	907.22	533.19	0.2563,0.1958,0.2194,0.1518,0.2868
sec_contact_sym_mig	Round_4_Replicate_6	-619.95	1249.9	806.03	474.56	0.3027,0.2353,0.0925,0.1603,0.1595
sec_contact_sym_mig	Round_4_Replicate_7	-656.42	1322.84	897.38	359.27	0.4496,0.4302,0.0601,0.2858,0.3539
sec_contact_sym_mig	Round_4_Replicate_8	-608.52	1227.04	832.38	531.64	0.2187,0.2023,0.0875,0.0901,0.1884
sec_contact_sym_mig	Round_4_Replicate_9	-690.29	1390.58	974.05	398.16	0.3107,0.4235,0.0346,0.0815,0.3637
sec_contact_sym_mig	Round_4_Replicate_10	-609.63	1229.26	777.72	467.93	0.3012,0.2621,0.1385,0.126,0.2991
sec_contact_sym_mig	Round_4_Replicate_11	-625.75	1261.5	773.42	466.03	0.2606,0.3016,0.1656,0.0708,0.3993
sec_contact_sym_mig	Round_4_Replicate_12	-657.53	1325.06	930.1	417.0	0.4209,0.2847,0.052,0.2056,0.205
sec_contact_sym_mig	Round_4_Replicate_13	-621.13	1252.26	737.24	428.76	0.3728,0.2925,0.2212,0.1946,0.3309
sec_contact_sym_mig	Round_4_Replicate_14	-623.49	1256.98	877.93	468.21	0.329,0.2394,0.1103,0.1545,0.2642
sec_contact_sym_mig	Round_4_Replicate_15	-614.55	1239.1	736.46	431.7	0.3429,0.3081,0.1907,0.0961,0.4892
sec_contact_sym_mig	Round_4_Replicate_16	-615.26	1240.52	740.8	431.86	0.3615,0.2949,0.1719,0.0713,0.4411
sec_contact_sym_mig	Round_4_Replicate_17	-616.55	1243.1	732.02	425.79	0.34,0.3244,0.1629,0.1333,0.4073
sec_contact_sym_mig	Round_4_Replicate_18	-606.06	1222.12	753.78	486.68	0.2731,0.241,0.1332,0.109,0.2338
sec_contact_sym_mig	Round_4_Replicate_19	-610.89	1231.78	838.86	511.83	0.2466,0.2204,0.1076,0.1208,0.2137
sec_contact_sym_mig	Round_4_Replicate_20	-617.0	1244.0	798.3	494.35	0.2672,0.248,0.217,0.1012,0.408
sec_contact_sym_mig	Round_4_Replicate_21	-695.45	1400.9	1071.16	394.03	0.3185,0.4286,0.0324,0.0336,0.4656
sec_contact_sym_mig	Round_4_Replicate_22	-666.57	1343.14	850.57	392.92	0.3637,0.3969,0.0503,0.0607,0.3783
sec_contact_sym_mig	Round_4_Replicate_23	-606.55	1223.1	772.8	499.09	0.2648,0.2219,0.1211,0.0663,0.247
sec_contact_sym_mig	Round_4_Replicate_24	-634.24	1278.48	769.85	388.68	0.3613,0.3962,0.1438,0.0922,0.6201
sec_contact_sym_mig	Round_4_Replicate_25	-626.25	1262.5	836.12	455.78	0.3054,0.2769,0.063,0.0795,0.2889
