Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m1, m2, T1, T2)
sym_mig_twoepoch	Round_4_Replicate_27	-689.33	1390.66	921.26	101.02	0.9816,1.3947,0.1143,0.0671,21.7234,1.3476
sym_mig_twoepoch	Round_4_Replicate_28	-633.49	1278.98	804.46	94.41	1.6936,1.4104,0.1977,0.0185,16.1832,1.0092
sym_mig_twoepoch	Round_4_Replicate_29	-700.56	1413.12	869.44	85.81	1.6089,1.9841,0.3122,0.012,21.3778,1.1987
sym_mig_twoepoch	Round_4_Replicate_30	-670.58	1353.16	948.19	106.88	1.1081,1.4512,0.1907,0.0177,29.1745,0.9285
sym_mig_twoepoch	Round_4_Replicate_31	-642.09	1296.18	848.22	56.94	3.013,2.2281,0.0935,0.01,18.8746,1.3519
sym_mig_twoepoch	Round_4_Replicate_32	-693.17	1398.34	1204.42	87.0	1.8673,1.0037,0.0947,0.0281,24.2705,0.8196
sym_mig_twoepoch	Round_4_Replicate_33	-626.48	1264.96	764.43	104.43	1.2829,1.3092,0.162,0.0521,15.237,1.374
sym_mig_twoepoch	Round_4_Replicate_34	-624.37	1260.74	790.96	77.79	1.8517,1.6499,0.1226,0.0176,26.3605,0.8556
sym_mig_twoepoch	Round_4_Replicate_35	-697.25	1406.5	915.56	107.27	0.9507,1.4619,0.1628,0.0671,17.9657,2.0531
sym_mig_twoepoch	Round_4_Replicate_36	-713.68	1439.36	916.99	122.27	0.8561,1.4604,0.307,0.0684,24.0253,1.9359
sym_mig_twoepoch	Round_4_Replicate_37	-626.04	1264.08	748.66	109.76	1.1942,1.2428,0.1718,0.0387,28.2657,0.644
sym_mig_twoepoch	Round_4_Replicate_38	-714.6	1441.2	1095.48	99.55	1.0741,1.6764,0.1818,0.0175,26.161,1.1747
sym_mig_twoepoch	Round_4_Replicate_39	-648.25	1308.5	830.77	61.98	2.9211,2.1425,0.1595,0.0136,17.0413,1.9814
sym_mig_twoepoch	Round_4_Replicate_40	-616.86	1245.72	763.21	83.7	1.7218,1.4945,0.1255,0.0351,23.5379,1.0845
