Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
sec_contact_sym_mig_size	Round_3_Replicate_10	-1112.41	2238.82	2943.4	82.28	9.9841,2.4817,1.1014,0.5796,0.2817,3.3733,0.1014
sec_contact_sym_mig_size	Round_3_Replicate_11	-728.38	1470.76	938.48	144.6	3.2985,1.0357,0.6462,1.7542,0.0692,2.1945,0.2603
sec_contact_sym_mig_size	Round_3_Replicate_12	-645.11	1304.22	1238.96	83.81	16.5258,3.2725,0.3385,0.4422,0.0489,5.8696,0.1587
sec_contact_sym_mig_size	Round_3_Replicate_13	-1297.88	2609.76	10865.54	57.76	8.9095,0.8511,0.1357,1.1249,0.0524,15.5505,0.0687
sec_contact_sym_mig_size	Round_3_Replicate_14	-785.33	1584.66	1664.6	174.07	10.4712,0.6364,0.2258,1.5537,0.0556,2.3789,0.18
sec_contact_sym_mig_size	Round_3_Replicate_15	-747.8	1509.6	960.76	75.2	4.6383,2.4348,0.3437,3.771,0.1553,7.1661,0.1835
sec_contact_sym_mig_size	Round_3_Replicate_16	-789.49	1592.98	1279.4	98.86	6.3874,0.6655,0.826,1.4932,0.167,5.3449,0.3596
sec_contact_sym_mig_size	Round_3_Replicate_17	-1029.15	2072.3	1876.16	57.59	26.7439,0.3562,0.3113,1.2991,0.2302,17.9076,0.5214
sec_contact_sym_mig_size	Round_3_Replicate_18	-1169.65	2353.3	2866.37	77.06	9.8515,3.2392,0.2543,3.9287,0.0347,6.7769,0.5499
sec_contact_sym_mig_size	Round_3_Replicate_19	-755.01	1524.02	2331.85	103.78	3.1206,1.4687,0.7206,0.3871,0.0767,4.9365,0.0586
sec_contact_sym_mig_size	Round_3_Replicate_20	-720.82	1455.64	2696.01	32.55	25.1793,5.4363,0.1062,2.4906,0.0815,19.6931,0.0728
sec_contact_sym_mig_size	Round_3_Replicate_21	-949.85	1913.7	13959.07	34.98	11.5802,2.7643,1.1533,1.523,0.0322,16.9148,0.1161
sec_contact_sym_mig_size	Round_3_Replicate_22	-614.57	1243.14	668.86	176.85	10.3368,1.2819,0.1585,0.9569,0.1513,2.1584,0.141
sec_contact_sym_mig_size	Round_3_Replicate_23	-988.13	1990.26	2448.58	60.33	12.8435,3.9318,0.3167,2.0903,0.0273,12.8546,0.6151
sec_contact_sym_mig_size	Round_3_Replicate_24	-960.28	1934.56	4137.12	49.35	7.248,1.2533,0.5238,1.0212,0.1078,16.2423,0.1093
sec_contact_sym_mig_size	Round_3_Replicate_25	-718.68	1451.36	1478.32	57.45	6.6002,1.9428,1.7172,1.821,0.097,9.3075,0.2477
sec_contact_sym_mig_size	Round_3_Replicate_26	-895.61	1805.22	2251.79	110.93	4.1621,0.3565,1.2329,0.4957,0.1352,5.4714,0.3726
sec_contact_sym_mig_size	Round_3_Replicate_27	-664.77	1343.54	958.71	158.61	16.3215,0.8477,0.1375,1.1927,0.1915,3.011,0.1162
sec_contact_sym_mig_size	Round_3_Replicate_28	-1134.86	2283.72	2490.57	139.8	2.9306,0.5853,0.239,0.6967,0.1308,6.7825,0.649
sec_contact_sym_mig_size	Round_3_Replicate_29	-997.22	2008.44	1729.12	70.24	20.4102,1.2781,0.2762,1.0057,0.2605,14.8783,0.6124
sec_contact_sym_mig_size	Round_3_Replicate_30	-1170.44	2354.88	3967.74	65.16	7.8798,0.4632,1.8013,0.5643,0.0934,9.0488,0.2504
