Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T1, T2, T3)
sec_contact_sym_mig_three_epoch	Round_4_Replicate_22	-632.92	1277.84	912.42	513.37	0.2505,0.2071,0.7851,0.1383,0.0576,0.095
sec_contact_sym_mig_three_epoch	Round_4_Replicate_23	-670.3	1352.6	1069.12	418.75	0.3731,0.3196,0.4678,0.1561,0.173,0.1646
sec_contact_sym_mig_three_epoch	Round_4_Replicate_24	-711.9	1435.8	1446.41	444.32	0.3975,0.2374,0.1846,0.2821,0.057,0.0902
sec_contact_sym_mig_three_epoch	Round_4_Replicate_25	-701.04	1414.08	1144.29	388.38	0.354,0.4184,0.2192,0.2349,0.0757,0.1667
sec_contact_sym_mig_three_epoch	Round_4_Replicate_26	-688.14	1388.28	1092.75	352.22	0.5387,0.3881,0.7534,0.5233,0.0295,0.1099
sec_contact_sym_mig_three_epoch	Round_4_Replicate_27	-641.23	1294.46	990.86	493.1	0.2624,0.2291,0.3198,0.1102,0.0494,0.1357
sec_contact_sym_mig_three_epoch	Round_4_Replicate_28	-643.53	1299.06	890.54	449.95	0.3176,0.2856,0.8356,0.2721,0.063,0.0958
sec_contact_sym_mig_three_epoch	Round_4_Replicate_29	-716.23	1444.46	1235.48	350.98	0.4493,0.4709,0.3904,0.2314,0.1066,0.2619
sec_contact_sym_mig_three_epoch	Round_4_Replicate_30	-693.79	1399.58	1204.5	387.79	0.4355,0.3575,0.2107,0.1346,0.1433,0.2193
sec_contact_sym_mig_three_epoch	Round_4_Replicate_31	-661.52	1335.04	1067.41	445.5	0.3167,0.2921,0.2379,0.127,0.0997,0.1554
sec_contact_sym_mig_three_epoch	Round_4_Replicate_32	-732.98	1477.96	1299.34	409.75	0.2758,0.4173,0.217,0.3013,0.1436,0.0904
sec_contact_sym_mig_three_epoch	Round_4_Replicate_33	-670.3	1352.6	1085.18	427.81	0.3244,0.332,0.5009,0.2449,0.0881,0.1412
sec_contact_sym_mig_three_epoch	Round_4_Replicate_34	-712.82	1437.64	1095.15	400.54	0.3036,0.4225,0.2404,0.1951,0.0674,0.157
sec_contact_sym_mig_three_epoch	Round_4_Replicate_35	-686.6	1385.2	1017.96	391.16	0.4151,0.3659,0.568,0.1294,0.1599,0.2036
sec_contact_sym_mig_three_epoch	Round_4_Replicate_36	-672.67	1357.34	1131.08	438.12	0.3674,0.2788,0.6586,0.1185,0.1438,0.1934
sec_contact_sym_mig_three_epoch	Round_4_Replicate_37	-648.03	1308.06	998.45	471.81	0.2853,0.2523,0.1964,0.1132,0.0442,0.1555
sec_contact_sym_mig_three_epoch	Round_4_Replicate_38	-686.18	1384.36	911.2	418.56	0.3075,0.3749,0.5894,0.1145,0.231,0.1286
sec_contact_sym_mig_three_epoch	Round_4_Replicate_39	-739.18	1490.36	1255.79	322.23	0.5657,0.5092,0.4091,0.1273,0.1566,0.3596
sec_contact_sym_mig_three_epoch	Round_4_Replicate_40	-737.98	1487.96	1377.73	329.99	0.4895,0.5244,0.4142,0.1773,0.1145,0.3673
