Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
anc_sym_mig_size	Round_3_Replicate_20	-729.93	1473.86	1352.0	292.98	0.7339,5.3353,0.2788,0.4629,6.4724,1.4175,0.4383
anc_sym_mig_size	Round_3_Replicate_21	-937.93	1889.86	2056.9	263.69	1.0798,2.0699,0.4419,0.1116,6.0932,2.1159,0.1384
anc_sym_mig_size	Round_3_Replicate_22	-656.98	1327.96	954.59	433.71	1.0579,0.9207,0.3033,0.209,10.2249,0.2936,0.2332
anc_sym_mig_size	Round_3_Replicate_23	-814.65	1643.3	1582.62	334.54	0.48,1.8015,0.4764,0.1339,5.0153,3.6432,0.1822
anc_sym_mig_size	Round_3_Replicate_24	-719.35	1452.7	967.12	386.8	3.35,1.4107,0.1574,0.3111,4.6408,0.397,0.1822
anc_sym_mig_size	Round_3_Replicate_25	-1759.19	3532.38	68992.76	431.7	0.7864,0.9245,0.3098,0.1353,24.7,1.9509,0.6757
anc_sym_mig_size	Round_3_Replicate_26	-1277.11	2568.22	24628.09	355.41	0.8385,2.0092,0.4527,0.3121,12.7608,0.2813,1.0283
anc_sym_mig_size	Round_3_Replicate_27	-868.32	1750.64	1627.86	263.02	2.7077,1.1858,0.7079,0.3765,4.58,0.7604,0.3254
anc_sym_mig_size	Round_3_Replicate_28	-827.27	1668.54	1191.52	449.99	0.4598,0.8266,0.1156,0.2729,22.6698,0.8865,0.1354
anc_sym_mig_size	Round_3_Replicate_29	-750.96	1515.92	1895.65	279.35	2.6888,5.5366,0.5952,0.3067,5.0142,0.8555,0.5356
anc_sym_mig_size	Round_3_Replicate_30	-4214.01	8442.02	13559994339.9	529.22	0.3717,1.313,0.1946,0.0796,5.3325,0.6435,1.0772
anc_sym_mig_size	Round_4_Replicate_1	-666.79	1347.58	911.1	396.79	0.7873,3.9612,0.1315,0.2147,8.8331,0.8556,0.1675
anc_sym_mig_size	Round_4_Replicate_2	-602.94	1219.88	830.04	407.49	1.0407,6.824,0.1846,0.1854,12.5035,0.6176,0.1882
anc_sym_mig_size	Round_4_Replicate_3	-653.29	1320.58	908.9	386.73	0.852,9.2342,0.2035,0.2874,20.1952,0.5186,0.2471
anc_sym_mig_size	Round_4_Replicate_4	-639.4	1292.8	797.82	329.93	1.0654,8.9051,0.1768,0.2436,16.4476,0.977,0.1842
anc_sym_mig_size	Round_4_Replicate_5	-604.89	1223.78	798.43	393.98	1.1453,4.0882,0.1837,0.1903,15.3846,0.6685,0.1825
anc_sym_mig_size	Round_4_Replicate_6	-627.58	1269.16	991.32	340.69	1.6123,8.04,0.3202,0.2442,9.8149,0.6993,0.2883
anc_sym_mig_size	Round_4_Replicate_7	-622.59	1259.18	844.43	427.97	0.4299,4.9109,0.2312,0.2191,8.1431,0.6858,0.2203
anc_sym_mig_size	Round_4_Replicate_8	-621.23	1256.46	893.21	428.21	0.7426,7.0015,0.2288,0.23,17.9393,0.3913,0.2443
anc_sym_mig_size	Round_4_Replicate_9	-599.3	1212.6	798.97	379.35	0.7035,11.5276,0.17,0.1514,15.1375,1.1322,0.1552
anc_sym_mig_size	Round_4_Replicate_10	-728.68	1471.36	1082.33	403.01	0.6667,3.9562,0.1683,0.3188,8.1657,0.4663,0.2301
anc_sym_mig_size	Round_4_Replicate_11	-599.54	1213.08	836.74	394.59	1.0935,13.5199,0.185,0.179,15.4348,0.6742,0.1859
anc_sym_mig_size	Round_4_Replicate_12	-681.37	1376.74	951.32	276.6	1.2501,3.8466,0.3593,0.2991,27.5248,1.0808,0.2549
anc_sym_mig_size	Round_4_Replicate_13	-617.27	1248.54	922.44	307.56	1.1404,4.2945,0.2356,0.2698,14.6797,1.459,0.2861
anc_sym_mig_size	Round_4_Replicate_14	-618.85	1251.7	880.51	322.68	0.6825,3.4968,0.2961,0.2996,23.6494,1.441,0.323
anc_sym_mig_size	Round_4_Replicate_15	-680.24	1374.48	904.63	315.24	1.5854,12.9119,0.1926,0.3256,29.1452,0.7068,0.2219
anc_sym_mig_size	Round_4_Replicate_16	-652.91	1319.82	832.28	282.39	1.3345,8.6522,0.194,0.2991,16.2221,1.2663,0.2156
