Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T)
sym_mig	Round_3_Replicate_26	-960.68	1929.36	1880.01	369.03	0.7704,0.2353,0.2935,0.3968
sym_mig	Round_3_Replicate_27	-620.22	1248.44	786.42	641.86	0.1537,0.1528,0.5156,0.2879
sym_mig	Round_3_Replicate_28	-662.16	1332.32	782.26	407.75	0.3591,0.3559,0.1166,0.4003
sym_mig	Round_3_Replicate_29	-1448.16	2904.32	5127.28	495.82	0.4857,0.0731,1.4492,0.1703
sym_mig	Round_3_Replicate_30	-823.14	1654.28	1523.86	376.08	0.678,0.1941,0.2814,0.9465
sym_mig	Round_4_Replicate_1	-591.73	1191.46	743.37	617.31	0.1509,0.1379,0.29,0.1925
sym_mig	Round_4_Replicate_2	-600.98	1209.96	775.06	643.66	0.1488,0.1286,0.4557,0.2092
sym_mig	Round_4_Replicate_3	-592.05	1192.1	737.49	588.25	0.1715,0.1592,0.2339,0.2218
sym_mig	Round_4_Replicate_4	-591.31	1190.62	754.78	616.75	0.1522,0.136,0.2612,0.19
sym_mig	Round_4_Replicate_5	-654.79	1317.58	823.56	641.09	0.1654,0.15,0.7603,0.3019
sym_mig	Round_4_Replicate_6	-592.61	1193.22	758.9	588.54	0.1807,0.1561,0.2423,0.2335
sym_mig	Round_4_Replicate_7	-600.71	1209.42	774.06	654.59	0.1392,0.1241,0.466,0.198
sym_mig	Round_4_Replicate_8	-598.97	1205.94	758.12	676.64	0.1072,0.1009,0.4612,0.134
sym_mig	Round_4_Replicate_9	-611.65	1231.3	775.13	633.83	0.1598,0.1369,0.5384,0.2333
sym_mig	Round_4_Replicate_10	-601.01	1210.02	725.89	568.6	0.1969,0.1848,0.3396,0.3008
sym_mig	Round_4_Replicate_11	-598.87	1205.74	728.19	537.53	0.227,0.2032,0.2677,0.3335
sym_mig	Round_4_Replicate_12	-605.6	1219.2	787.35	698.69	0.1056,0.0977,0.5888,0.1436
sym_mig	Round_4_Replicate_13	-596.59	1201.18	739.71	553.05	0.2122,0.1909,0.2564,0.3089
sym_mig	Round_4_Replicate_14	-597.69	1203.38	749.33	647.98	0.1338,0.1253,0.4313,0.1826
sym_mig	Round_4_Replicate_15	-609.01	1226.02	781.19	666.49	0.135,0.1224,0.564,0.2025
sym_mig	Round_4_Replicate_16	-617.5	1243.0	736.39	648.29	0.1205,0.1328,0.5445,0.1754
sym_mig	Round_4_Replicate_17	-596.39	1200.78	734.53	565.35	0.2035,0.1757,0.2934,0.2754
sym_mig	Round_4_Replicate_18	-612.95	1233.9	776.98	665.12	0.133,0.1201,0.6128,0.1915
sym_mig	Round_4_Replicate_19	-593.37	1194.74	738.17	580.5	0.1849,0.161,0.2642,0.2345
sym_mig	Round_4_Replicate_20	-593.26	1194.52	748.02	634.13	0.1296,0.1182,0.2621,0.1495
sym_mig	Round_4_Replicate_21	-594.04	1196.08	746.08	567.48	0.1888,0.1768,0.1967,0.2514
