Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2, T3)
sec_contact_asym_mig_three_epoch	Round_4_Replicate_8	-713.94	1441.88	1354.24	93.02	1.9273,0.8351,0.1147,0.2934,9.2839,3.6557,0.636
sec_contact_asym_mig_three_epoch	Round_4_Replicate_9	-673.79	1361.58	962.61	117.05	1.6351,0.9258,0.1126,0.2371,3.3599,3.8417,0.3319
sec_contact_asym_mig_three_epoch	Round_4_Replicate_10	-908.65	1831.3	3035.75	117.36	2.2471,0.7624,0.0614,0.3792,2.878,1.6611,1.0801
sec_contact_asym_mig_three_epoch	Round_4_Replicate_11	-647.35	1308.7	874.57	114.78	1.0804,1.2404,0.1864,0.0988,4.7121,1.7832,0.228
sec_contact_asym_mig_three_epoch	Round_4_Replicate_12	-694.24	1402.48	889.45	83.02	2.3642,1.721,0.0663,0.1627,5.1766,1.508,0.3808
sec_contact_asym_mig_three_epoch	Round_4_Replicate_13	-727.22	1468.44	923.51	81.17	2.5247,1.8316,0.049,0.181,4.8464,1.6372,0.3506
sec_contact_asym_mig_three_epoch	Round_4_Replicate_14	-694.52	1403.04	1220.84	89.08	2.1306,1.2475,0.1445,0.3189,6.3054,4.8337,1.076
sec_contact_asym_mig_three_epoch	Round_4_Replicate_15	-793.68	1601.36	1828.88	102.13	2.1287,0.7539,0.1047,0.3377,6.0026,2.1079,0.7915
sec_contact_asym_mig_three_epoch	Round_4_Replicate_16	-680.88	1375.76	1005.91	64.47	3.0849,1.598,0.0468,0.1484,8.7993,2.1728,0.5032
sec_contact_asym_mig_three_epoch	Round_4_Replicate_17	-639.25	1292.5	843.4	77.65	1.5567,1.4411,0.2147,0.2408,12.9552,4.2898,0.7087
sec_contact_asym_mig_three_epoch	Round_4_Replicate_18	-675.73	1365.46	1000.32	130.51	1.4881,0.8224,0.1094,0.3067,3.3988,2.2414,0.3477
sec_contact_asym_mig_three_epoch	Round_4_Replicate_19	-672.49	1358.98	903.12	51.84	3.3617,2.4704,0.0385,0.0928,10.3458,3.1018,0.5445
sec_contact_asym_mig_three_epoch	Round_4_Replicate_20	-665.53	1345.06	972.75	87.15	1.6468,1.7048,0.1799,0.1278,5.3747,3.0874,0.7351
sec_contact_asym_mig_three_epoch	Round_4_Replicate_21	-693.59	1401.18	1233.92	95.61	1.5055,1.6706,0.1666,0.0657,3.9466,2.9445,0.6664
sec_contact_asym_mig_three_epoch	Round_4_Replicate_22	-773.59	1561.18	1068.16	103.14	1.4101,1.7666,0.0434,0.1738,3.0418,2.484,0.2735
sec_contact_asym_mig_three_epoch	Round_4_Replicate_23	-704.04	1422.08	866.3	73.35	2.6824,2.2566,0.0538,0.0736,4.0361,2.9872,0.2971
sec_contact_asym_mig_three_epoch	Round_4_Replicate_24	-683.03	1380.06	853.3	64.93	2.1126,2.4156,0.1188,0.1224,7.9229,2.8438,0.6561
sec_contact_asym_mig_three_epoch	Round_4_Replicate_25	-674.92	1363.84	1119.31	111.47	1.5359,1.0413,0.116,0.2695,4.4097,4.9174,0.6111
sec_contact_asym_mig_three_epoch	Round_4_Replicate_26	-652.94	1319.88	863.58	83.91	1.2132,1.3657,0.1775,0.1658,9.7927,2.5919,0.3557
sec_contact_asym_mig_three_epoch	Round_4_Replicate_27	-669.97	1353.94	927.78	130.5	1.44,0.9888,0.12,0.169,2.8917,1.6146,0.2442
sec_contact_asym_mig_three_epoch	Round_4_Replicate_28	-678.75	1371.5	1028.15	70.74	2.7183,1.2697,0.0726,0.3091,9.5105,1.5638,0.6767
sec_contact_asym_mig_three_epoch	Round_4_Replicate_29	-718.23	1450.46	1199.89	93.85	2.2474,1.5286,0.0458,0.1045,3.5419,1.7944,0.4673
sec_contact_asym_mig_three_epoch	Round_4_Replicate_30	-700.98	1415.96	899.25	86.62	1.778,2.3091,0.1076,0.0334,3.3379,2.3886,0.294
sec_contact_asym_mig_three_epoch	Round_4_Replicate_31	-673.7	1361.4	896.03	82.63	1.9595,1.5548,0.1508,0.272,6.7159,2.4817,0.7552
sec_contact_asym_mig_three_epoch	Round_4_Replicate_32	-690.65	1395.3	992.21	49.05	3.6956,2.5164,0.057,0.204,12.0341,1.582,1.0842
sec_contact_asym_mig_three_epoch	Round_4_Replicate_33	-748.44	1510.88	1590.1	102.6	2.0573,1.1211,0.0963,0.136,4.1051,1.3994,0.6354
sec_contact_asym_mig_three_epoch	Round_4_Replicate_34	-655.12	1324.24	861.88	117.06	1.2418,1.1481,0.1652,0.18,4.3234,1.7057,0.2915
sec_contact_asym_mig_three_epoch	Round_4_Replicate_35	-684.29	1382.58	1078.04	106.57	1.7658,1.0584,0.0472,0.252,3.2912,6.4591,0.4498
sec_contact_asym_mig_three_epoch	Round_4_Replicate_36	-649.5	1313.0	858.08	70.66	1.4708,2.2052,0.3495,0.1124,9.9449,1.8053,0.8779
sec_contact_asym_mig_three_epoch	Round_4_Replicate_37	-907.62	1829.24	2845.72	87.53	2.3734,0.816,0.0413,0.1946,7.3324,4.9466,0.9084
sec_contact_asym_mig_three_epoch	Round_4_Replicate_38	-671.25	1356.5	1124.38	85.69	1.2045,1.3536,0.3493,0.1538,9.5203,1.2693,0.7217
sec_contact_asym_mig_three_epoch	Round_4_Replicate_39	-705.15	1424.3	1225.36	91.34	2.2543,1.0912,0.0933,0.2604,5.2122,5.4929,0.7638
sec_contact_asym_mig_three_epoch	Round_4_Replicate_40	-650.0	1314.0	882.39	58.95	2.5517,1.8905,0.07,0.1077,10.8194,4.7656,0.5065
