Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
anc_asym_mig_size	Round_3_Replicate_29	-1695.55	3407.1	36391.53	387.29	0.4951,0.182,0.1615,1.0442,5.5062,1.6008,6.2487,0.6318
anc_asym_mig_size	Round_3_Replicate_30	-1460.43	2936.86	23236.82	511.27	0.8334,0.1833,0.3717,0.1107,4.9471,18.3257,4.342,0.4879
anc_asym_mig_size	Round_4_Replicate_1	-768.18	1552.36	2148.31	992.09	0.2365,1.5592,0.1799,0.1418,1.5595,13.0475,24.6991,0.2127
anc_asym_mig_size	Round_4_Replicate_2	-628.9	1273.8	925.36	605.87	0.6559,2.9679,0.1736,0.1713,2.0725,17.619,26.5961,0.1909
anc_asym_mig_size	Round_4_Replicate_3	-627.34	1270.68	1025.59	891.27	0.4022,1.022,0.1193,0.0975,1.1498,8.2832,26.9697,0.1174
anc_asym_mig_size	Round_4_Replicate_4	-692.42	1400.84	1139.71	582.28	0.5627,2.8589,0.288,0.1369,1.7633,11.2338,22.2184,0.1843
anc_asym_mig_size	Round_4_Replicate_5	-609.75	1235.5	849.83	834.57	0.5894,1.1411,0.1039,0.0794,0.8009,14.7158,26.4951,0.0881
anc_asym_mig_size	Round_4_Replicate_6	-610.93	1237.86	868.79	607.61	0.6202,2.0226,0.1538,0.1244,0.6804,5.5797,17.2666,0.134
anc_asym_mig_size	Round_4_Replicate_7	-776.95	1569.9	1356.94	759.76	0.3379,3.3803,0.3142,0.1673,0.964,15.0748,20.2268,0.2095
anc_asym_mig_size	Round_4_Replicate_8	-658.82	1333.64	1050.57	432.88	0.8087,3.7344,0.2466,0.1159,1.0743,5.2347,19.1555,0.1436
anc_asym_mig_size	Round_4_Replicate_9	-725.43	1466.86	1836.06	996.44	0.2759,2.708,0.1535,0.119,0.9944,8.6679,24.233,0.1757
anc_asym_mig_size	Round_4_Replicate_10	-891.01	1798.02	1571.3	778.12	0.3125,1.0195,0.3933,0.0924,1.8061,10.4307,24.8375,0.1079
anc_asym_mig_size	Round_4_Replicate_11	-734.18	1484.36	1462.68	846.95	0.3039,2.7346,0.2117,0.1708,0.7237,11.3445,20.2815,0.2079
anc_asym_mig_size	Round_4_Replicate_12	-687.8	1391.6	1071.31	906.33	0.2938,2.5611,0.1859,0.131,1.7889,12.4138,25.4252,0.1461
anc_asym_mig_size	Round_4_Replicate_13	-812.02	1640.04	2805.23	860.39	0.3037,1.0404,0.1496,0.1598,1.2312,7.8112,28.2434,0.2396
anc_asym_mig_size	Round_4_Replicate_14	-604.45	1224.9	841.1	572.54	0.7139,3.4877,0.1383,0.1192,1.512,9.2592,13.9618,0.1317
anc_asym_mig_size	Round_4_Replicate_15	-620.13	1256.26	897.15	603.14	0.6167,3.7232,0.1691,0.1514,1.3653,9.4876,24.5486,0.168
anc_asym_mig_size	Round_4_Replicate_16	-678.78	1373.56	1099.13	777.24	0.3372,2.4682,0.2251,0.1221,0.714,5.8721,25.7122,0.1421
anc_asym_mig_size	Round_4_Replicate_17	-636.58	1289.16	922.93	698.94	0.2814,1.6095,0.1917,0.1068,2.4297,5.3869,19.2894,0.118
anc_asym_mig_size	Round_4_Replicate_18	-785.85	1587.7	1334.78	374.87	0.7911,1.5677,0.4159,0.1362,1.2004,5.0001,14.5503,0.1481
anc_asym_mig_size	Round_4_Replicate_19	-618.63	1253.26	805.16	635.36	0.7583,4.1281,0.1309,0.136,1.014,18.1369,18.3145,0.1336
anc_asym_mig_size	Round_4_Replicate_20	-724.05	1464.1	1208.25	468.57	0.634,3.1218,0.2287,0.0908,2.4376,7.5964,25.7417,0.1059
anc_asym_mig_size	Round_4_Replicate_21	-640.17	1296.34	889.05	764.93	0.5537,2.1017,0.1373,0.0873,1.1343,12.932,24.3744,0.0933
anc_asym_mig_size	Round_4_Replicate_22	-632.6	1281.2	929.93	535.76	0.3897,2.9642,0.229,0.1254,2.4109,5.0782,23.4578,0.1454
anc_asym_mig_size	Round_4_Replicate_23	-763.7	1543.4	1650.34	689.37	0.2717,1.729,0.3115,0.0948,2.121,5.1035,25.6276,0.1605
anc_asym_mig_size	Round_4_Replicate_24	-687.09	1390.18	1175.04	721.31	0.3655,2.6048,0.2449,0.1541,1.0608,7.8108,22.8041,0.1903
anc_asym_mig_size	Round_4_Replicate_25	-711.32	1438.64	1347.2	1160.75	0.2512,2.5781,0.1249,0.1246,0.956,15.1393,19.4415,0.1407
anc_asym_mig_size	Round_4_Replicate_26	-844.24	1704.48	1551.86	732.52	0.3295,3.3144,0.3896,0.1708,1.1478,20.6195,23.6596,0.2279
anc_asym_mig_size	Round_4_Replicate_27	-684.14	1384.28	1134.59	707.76	0.3688,1.6143,0.2126,0.1924,2.8484,14.9792,22.9185,0.2185
anc_asym_mig_size	Round_4_Replicate_28	-755.64	1527.28	1586.8	864.07	0.2957,2.5737,0.2365,0.1656,0.9048,16.3367,23.7151,0.2226
anc_asym_mig_size	Round_4_Replicate_29	-620.68	1257.36	1007.36	667.11	0.7876,2.8726,0.1162,0.0889,1.4158,16.5323,21.1658,0.118
anc_asym_mig_size	Round_4_Replicate_30	-858.05	1732.1	3407.75	945.75	0.4559,4.4903,0.1433,0.1125,0.7382,16.8292,21.9649,0.2326
anc_asym_mig_size	Round_4_Replicate_31	-650.14	1316.28	974.8	512.52	0.6919,1.2391,0.1641,0.2037,1.2778,7.0285,23.4596,0.1989
anc_asym_mig_size	Round_4_Replicate_32	-814.69	1645.38	1374.6	682.76	0.3468,3.5144,0.3895,0.149,2.2445,14.0683,23.5985,0.1868
anc_asym_mig_size	Round_4_Replicate_33	-617.41	1250.82	942.12	714.63	0.4171,4.0319,0.1391,0.0683,1.0275,4.5915,17.6741,0.082
anc_asym_mig_size	Round_4_Replicate_34	-708.21	1432.42	1197.53	1202.19	0.2276,1.9771,0.1641,0.0909,1.7244,15.7595,23.4152,0.1153
anc_asym_mig_size	Round_4_Replicate_35	-762.61	1541.22	1393.2	558.29	0.4959,2.7886,0.4088,0.1555,1.5622,10.0727,18.6623,0.2315
anc_asym_mig_size	Round_4_Replicate_36	-807.02	1630.04	1514.59	868.76	0.2243,2.5753,0.3057,0.1438,1.5844,11.5829,23.3377,0.1836
anc_asym_mig_size	Round_4_Replicate_37	-637.85	1291.7	883.08	1004.73	0.3868,3.3803,0.122,0.095,0.9914,15.3126,24.8375,0.1003
anc_asym_mig_size	Round_4_Replicate_38	-760.67	1537.34	1599.95	893.49	0.2718,1.2867,0.1927,0.1834,0.888,13.9707,14.3964,0.2115
anc_asym_mig_size	Round_4_Replicate_39	-701.86	1419.72	1106.06	669.46	0.427,1.0681,0.2668,0.1281,2.3011,11.1969,14.1695,0.1585
anc_asym_mig_size	Round_4_Replicate_40	-648.38	1312.76	896.43	620.57	0.6501,2.241,0.1213,0.1617,2.6638,17.858,25.2464,0.1498
