Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2, T3)
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_27	-682.27	1380.54	879.24	134.81	0.5637,0.0831,0.7625,0.9624,1.7233,6.1028,0.3056,0.6477
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_28	-742.08	1500.16	1543.71	92.91	1.0209,0.0933,0.8937,0.8581,6.6714,15.2958,0.3614,1.4087
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_29	-874.24	1764.48	2935.56	130.76	0.301,0.3125,0.839,0.8582,5.9943,7.9228,0.2585,1.6589
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_30	-926.75	1869.5	2439.94	95.57	0.9562,0.1652,0.6763,1.3094,4.9986,12.8228,0.3872,1.5955
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_31	-691.23	1398.46	1069.91	113.07	0.2801,0.2273,1.3934,0.8106,3.6199,7.7527,0.1872,0.9898
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_32	-789.47	1594.94	1572.92	127.66	0.6365,0.1858,0.6512,1.1019,1.8741,6.7804,0.2773,1.0564
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_33	-729.9	1475.8	1076.29	98.82	0.4865,0.0705,0.8031,1.358,1.9282,9.7968,0.3641,1.0589
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_34	-1064.55	2145.1	1699.95	64.53	0.4641,0.181,1.845,1.905,1.5584,14.9404,0.3103,0.7125
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_35	-854.05	1724.1	1504.88	99.16	0.2726,0.2124,0.7508,1.7678,4.2738,8.5469,0.1881,1.3246
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_36	-764.37	1544.74	1574.85	100.47	0.2901,0.3225,1.7409,0.7769,4.2579,9.0732,0.1883,1.3984
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_37	-708.82	1433.64	1281.66	72.59	0.2693,0.1588,1.1686,1.1745,2.1463,17.2618,0.3478,1.6098
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_38	-708.09	1432.18	1040.91	87.91	0.3998,0.0997,1.43,1.4459,3.9384,9.7529,0.0827,1.085
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_39	-702.88	1421.76	1037.15	84.46	0.3203,0.3387,1.4828,1.9393,2.0592,8.4501,0.268,1.7187
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_40	-772.5	1561.0	1080.55	74.41	1.1292,0.1681,1.2745,1.9269,1.6201,11.8687,0.2005,0.8919
