Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T)
sym_mig	Round_1_Replicate_1	-2665.31	5338.62	164684.89	189.03	3.4891,0.9997,0.2582,0.5564
sym_mig	Round_1_Replicate_2	-1638.55	3285.1	15873.32	110.3	2.8081,1.826,0.1724,2.4319
sym_mig	Round_1_Replicate_3	-3644.7	7297.4	1470630.92	250.46	4.7164,0.4063,1.3983,0.3242
sym_mig	Round_1_Replicate_4	-2051.68	4111.36	13660.25	189.3	0.1859,1.7034,0.5814,6.0361
sym_mig	Round_1_Replicate_5	-3262.0	6532.0	424565.88	302.58	4.1266,0.1359,2.7699,0.4126
sym_mig	Round_1_Replicate_6	-7984.42	15976.84	45715843053.4	118.66	3.8281,1.7715,2.4,1.5718
sym_mig	Round_1_Replicate_7	-2544.39	5096.78	170285.56	93.46	3.2376,1.5532,0.3983,4.7185
sym_mig	Round_1_Replicate_8	-920.17	1848.34	1798.39	437.84	0.5603,0.1589,0.4448,0.3617
sym_mig	Round_1_Replicate_9	-2545.23	5098.46	25440.89	197.17	4.7683,0.0988,1.1099,4.4861
sym_mig	Round_1_Replicate_10	-4950.99	9909.98	18896721.26	146.06	0.304,5.2163,2.318,7.7513
sym_mig	Round_2_Replicate_1	-680.24	1368.48	847.26	513.66	0.2628,0.2342,0.5624,0.9944
sym_mig	Round_2_Replicate_2	-791.0	1590.0	1191.79	485.82	0.1473,0.3435,0.1304,0.3002
sym_mig	Round_2_Replicate_3	-1725.67	3459.34	9462.59	391.49	0.9815,0.1166,1.2361,0.6388
sym_mig	Round_2_Replicate_4	-668.72	1345.44	871.37	581.03	0.2326,0.1848,0.6205,0.8024
sym_mig	Round_2_Replicate_5	-1896.89	3801.78	11303.26	323.53	1.7837,0.1234,0.9714,0.4781
sym_mig	Round_2_Replicate_6	-1037.11	2082.22	2335.86	400.03	0.644,0.2058,0.6287,0.5292
sym_mig	Round_2_Replicate_7	-819.93	1647.86	1445.2	388.14	0.6472,0.2007,0.3315,0.8021
sym_mig	Round_2_Replicate_8	-645.44	1298.88	842.96	662.89	0.1637,0.1433,0.7049,0.3414
sym_mig	Round_2_Replicate_9	-604.24	1216.48	846.83	644.52	0.1254,0.0981,0.1417,0.1263
sym_mig	Round_2_Replicate_10	-729.99	1467.98	1016.79	612.17	0.1514,0.1225,0.9463,0.1556
sym_mig	Round_2_Replicate_11	-2071.06	4150.12	28291.47	333.84	1.412,0.1928,1.2617,0.3703
sym_mig	Round_2_Replicate_12	-664.41	1336.82	1006.95	360.28	0.512,0.3346,0.1064,0.9642
sym_mig	Round_2_Replicate_13	-1441.87	2891.74	6968.7	388.3	0.7055,0.217,1.0373,0.5136
sym_mig	Round_2_Replicate_14	-1752.58	3513.16	11473.07	341.49	1.1265,0.1594,1.1023,1.0948
sym_mig	Round_2_Replicate_15	-1389.64	2787.28	7169.27	295.33	0.9749,0.4377,0.5206,0.5812
sym_mig	Round_2_Replicate_16	-777.07	1562.14	1233.65	561.42	0.2848,0.1474,0.8161,0.3761
sym_mig	Round_2_Replicate_17	-657.71	1323.42	966.54	410.3	0.4016,0.2637,0.211,1.1021
sym_mig	Round_2_Replicate_18	-653.88	1315.76	773.36	341.01	0.5292,0.4006,0.2241,0.9787
sym_mig	Round_2_Replicate_19	-655.66	1319.32	862.09	599.91	0.2112,0.1788,0.573,0.6635
sym_mig	Round_2_Replicate_20	-678.17	1364.34	846.46	262.16	0.8292,0.5612,0.086,1.1593
sym_mig	Round_3_Replicate_1	-595.16	1198.32	791.31	603.08	0.1575,0.1403,0.14,0.1862
sym_mig	Round_3_Replicate_2	-593.35	1194.7	768.81	632.9	0.129,0.1186,0.1806,0.1485
sym_mig	Round_3_Replicate_3	-600.96	1209.92	800.14	649.46	0.1069,0.1009,0.076,0.1151
sym_mig	Round_3_Replicate_4	-595.34	1198.68	753.45	574.5	0.1754,0.1638,0.1458,0.2102
sym_mig	Round_3_Replicate_5	-602.5	1213.0	761.52	596.5	0.1413,0.1398,0.0806,0.1542
sym_mig	Round_3_Replicate_6	-593.42	1194.84	774.9	598.16	0.1652,0.1424,0.178,0.194
sym_mig	Round_3_Replicate_7	-597.79	1203.58	799.61	618.79	0.1371,0.1273,0.1004,0.1568
sym_mig	Round_3_Replicate_8	-598.2	1204.4	789.18	628.53	0.1252,0.1193,0.0967,0.1408
sym_mig	Round_3_Replicate_9	-591.39	1190.78	760.4	621.81	0.1448,0.133,0.2299,0.1805
sym_mig	Round_3_Replicate_10	-602.6	1213.2	809.82	661.74	0.0978,0.0947,0.0645,0.1072
sym_mig	Round_3_Replicate_11	-591.42	1190.84	752.78	629.64	0.1371,0.1266,0.2528,0.1679
sym_mig	Round_3_Replicate_12	-599.77	1207.54	793.58	601.01	0.1487,0.149,0.1096,0.1861
sym_mig	Round_3_Replicate_13	-601.98	1211.96	822.52	669.07	0.097,0.0898,0.0828,0.1052
sym_mig	Round_3_Replicate_14	-592.21	1192.42	769.38	641.26	0.1278,0.1192,0.2253,0.1564
sym_mig	Round_3_Replicate_15	-598.24	1204.48	796.4	674.45	0.0956,0.0892,0.163,0.1061
sym_mig	Round_3_Replicate_16	-596.45	1200.9	782.34	671.8	0.0985,0.0935,0.1975,0.1124
sym_mig	Round_3_Replicate_17	-599.3	1206.6	781.62	576.45	0.1752,0.1531,0.1063,0.192
sym_mig	Round_3_Replicate_18	-595.29	1198.58	778.91	638.12	0.1217,0.1142,0.1444,0.1387
sym_mig	Round_3_Replicate_19	-602.37	1212.74	806.79	656.25	0.1011,0.0983,0.0628,0.111
sym_mig	Round_3_Replicate_20	-593.86	1195.72	780.93	619.36	0.1433,0.1262,0.1651,0.1635
sym_mig	Round_3_Replicate_21	-597.26	1202.52	774.72	661.93	0.1009,0.0977,0.1622,0.1136
sym_mig	Round_3_Replicate_22	-592.94	1193.88	757.32	623.58	0.1352,0.1256,0.1864,0.1569
sym_mig	Round_3_Replicate_23	-596.97	1201.94	771.19	620.69	0.1349,0.1188,0.1511,0.1433
sym_mig	Round_3_Replicate_24	-596.16	1200.32	787.03	649.78	0.1135,0.1084,0.1436,0.1314
sym_mig	Round_3_Replicate_25	-599.09	1206.18	793.21	664.94	0.0994,0.0911,0.1419,0.1064
