Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T)
sym_mig	Round_1_Replicate_1	-1872.5	3753.0	21254.68	181.82	2.2707,0.4991,0.5417,1.9093
sym_mig	Round_1_Replicate_2	-2024.57	4057.14	34500.41	266.77	0.4228,0.7616,1.0706,7.0662
sym_mig	Round_1_Replicate_3	-3726.48	7460.96	2459691.29	133.26	3.2358,0.6528,1.2307,5.0572
sym_mig	Round_1_Replicate_4	-2138.11	4284.22	27602.17	272.51	1.8287,0.1806,1.1482,1.4709
sym_mig	Round_1_Replicate_5	-1320.99	2649.98	2967.93	283.41	0.229,1.3011,0.1127,0.3763
sym_mig	Round_1_Replicate_6	-4391.94	8791.88	12868614.88	199.25	1.4908,1.8871,0.8072,0.4177
sym_mig	Round_1_Replicate_7	-2359.76	4727.52	71127.5	221.01	1.7047,0.3029,1.164,8.7033
sym_mig	Round_1_Replicate_8	-8606.63	17221.26	1.27147399271e+11	127.18	1.4429,2.4142,4.2984,2.0966
sym_mig	Round_1_Replicate_9	-3459.79	6927.58	578140.6	312.67	4.4503,0.1229,3.3288,4.3978
sym_mig	Round_1_Replicate_10	-2343.34	4694.68	83316.22	309.61	0.3826,0.841,1.1615,0.3771
sym_mig	Round_2_Replicate_1	-916.93	1841.86	1396.54	275.43	0.4266,0.9589,0.081,0.6324
sym_mig	Round_2_Replicate_2	-1155.5	2319.0	2471.84	282.29	0.3345,1.0944,0.1345,0.4565
sym_mig	Round_2_Replicate_3	-1351.95	2711.9	5281.12	258.47	0.4932,1.1637,0.2239,0.5103
sym_mig	Round_2_Replicate_4	-1193.93	2395.86	2779.84	339.77	0.2325,0.8003,0.0766,0.2486
sym_mig	Round_2_Replicate_5	-848.43	1704.86	2223.15	374.08	0.4906,0.2811,0.0461,1.0478
sym_mig	Round_2_Replicate_6	-876.86	1761.72	1456.69	390.87	0.2984,0.4471,0.0261,0.2534
sym_mig	Round_2_Replicate_7	-1490.63	2989.26	3458.3	213.57	0.3077,2.3917,0.0262,0.5195
sym_mig	Round_2_Replicate_8	-635.39	1278.78	750.86	318.96	0.5295,0.4386,0.1842,1.2777
sym_mig	Round_2_Replicate_9	-1775.37	3558.74	5082.18	250.76	0.1572,2.4704,0.032,0.2853
sym_mig	Round_2_Replicate_10	-2204.63	4417.26	11348.58	250.87	0.1405,3.9116,0.1816,0.1931
sym_mig	Round_2_Replicate_11	-2009.64	4027.28	8571.93	302.27	0.0982,2.0987,0.0904,0.1262
sym_mig	Round_2_Replicate_12	-841.53	1691.06	1225.61	235.8	0.6196,1.0549,0.0334,0.9236
sym_mig	Round_2_Replicate_13	-874.42	1756.84	1372.58	256.27	0.3606,0.9867,0.0807,1.1987
sym_mig	Round_2_Replicate_14	-791.75	1591.5	1182.71	263.2	0.5308,0.8691,0.0306,0.8754
sym_mig	Round_2_Replicate_15	-1782.81	3573.62	6497.66	204.83	0.3221,3.0101,0.1122,0.456
sym_mig	Round_2_Replicate_16	-665.5	1339.0	989.38	350.55	0.5023,0.4142,0.0521,0.7143
sym_mig	Round_2_Replicate_17	-1940.94	3889.88	6523.55	222.23	0.1575,2.883,0.1873,0.4251
sym_mig	Round_2_Replicate_18	-2326.54	4661.08	25523.44	163.56	0.5261,4.9616,0.1774,0.5482
sym_mig	Round_2_Replicate_19	-1240.73	2489.46	2672.55	183.33	0.4023,1.8569,0.177,1.5507
sym_mig	Round_2_Replicate_20	-1200.81	2409.62	3983.63	253.6	0.8413,0.9162,0.0418,0.5103
sym_mig	Round_3_Replicate_1	-639.65	1287.3	807.87	251.42	0.6039,0.5122,0.1601,2.6576
sym_mig	Round_3_Replicate_2	-749.52	1507.04	942.92	250.67	0.635,0.767,0.175,1.3021
sym_mig	Round_3_Replicate_3	-631.3	1270.6	765.22	346.91	0.4839,0.4221,0.1281,0.8672
sym_mig	Round_3_Replicate_4	-631.41	1270.82	785.48	359.58	0.4489,0.3632,0.2021,1.1705
sym_mig	Round_3_Replicate_5	-632.22	1272.44	799.08	362.37	0.47,0.3896,0.1128,0.7675
sym_mig	Round_3_Replicate_6	-638.92	1285.84	760.37	201.03	0.8519,0.7208,0.1088,2.7276
sym_mig	Round_3_Replicate_7	-624.78	1257.56	766.1	392.0	0.3863,0.3661,0.1469,0.722
sym_mig	Round_3_Replicate_8	-644.51	1297.02	826.92	288.67	0.5031,0.4202,0.2111,2.5839
sym_mig	Round_3_Replicate_9	-750.08	1508.16	1087.5	280.92	0.9636,0.4108,0.089,0.9414
sym_mig	Round_3_Replicate_10	-724.08	1456.16	958.71	258.22	0.9529,0.5476,0.0743,1.0293
sym_mig	Round_3_Replicate_11	-655.94	1319.88	832.92	279.66	0.7275,0.5055,0.0939,1.1935
sym_mig	Round_3_Replicate_12	-670.68	1349.36	796.41	220.24	0.937,0.6672,0.1193,1.8421
sym_mig	Round_3_Replicate_13	-632.06	1272.12	772.69	331.93	0.501,0.4391,0.1351,1.0492
sym_mig	Round_3_Replicate_14	-659.23	1326.46	787.62	238.61	0.8176,0.6634,0.0881,1.5084
sym_mig	Round_3_Replicate_15	-636.77	1281.54	772.91	303.94	0.6024,0.4534,0.1457,1.2554
sym_mig	Round_3_Replicate_16	-665.12	1338.24	832.7	230.82	0.9401,0.594,0.0972,1.7086
sym_mig	Round_3_Replicate_17	-634.64	1277.28	762.75	318.98	0.5296,0.47,0.128,1.0691
sym_mig	Round_3_Replicate_18	-694.79	1397.58	827.17	258.21	0.7187,0.6958,0.0852,1.072
sym_mig	Round_3_Replicate_19	-711.41	1430.82	973.2	276.62	0.8743,0.4833,0.0701,0.9667
sym_mig	Round_3_Replicate_20	-633.06	1274.12	781.55	338.4	0.4627,0.4029,0.1847,1.3187
sym_mig	Round_3_Replicate_21	-723.14	1454.28	1019.08	294.33	0.5002,0.6749,0.0428,0.8271
sym_mig	Round_3_Replicate_22	-744.92	1497.84	1029.21	233.88	1.0656,0.6495,0.048,1.1445
sym_mig	Round_3_Replicate_23	-630.17	1268.34	787.12	374.9	0.4312,0.3437,0.2094,1.0648
sym_mig	Round_3_Replicate_24	-636.6	1281.2	786.32	267.06	0.6086,0.4969,0.1603,2.1063
sym_mig	Round_3_Replicate_25	-646.19	1300.38	868.77	398.94	0.3685,0.2895,0.2676,1.4334
sym_mig	Round_3_Replicate_26	-691.32	1390.64	858.97	268.87	0.8296,0.5426,0.0989,1.0544
sym_mig	Round_3_Replicate_27	-632.12	1272.24	781.34	362.87	0.4299,0.3651,0.2101,1.1915
sym_mig	Round_3_Replicate_28	-642.21	1292.42	763.62	230.22	0.7971,0.622,0.1209,2.0583
