Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T)
sym_mig	Round_1_Replicate_1	-3013.65	6035.3	432894.63	417.55	0.2516,0.4957,2.9408,0.6934
sym_mig	Round_1_Replicate_2	-1115.04	2238.08	3011.93	241.59	1.1805,0.4625,0.3799,1.4534
sym_mig	Round_1_Replicate_3	-1052.45	2112.9	2719.47	302.58	0.8124,0.517,0.1485,0.4506
sym_mig	Round_1_Replicate_4	-1654.37	3316.74	12688.14	582.36	0.2183,0.1652,2.8247,0.2814
sym_mig	Round_1_Replicate_5	-8190.95	16389.9	68896400899.8	179.57	1.862,1.1291,4.6772,0.9984
sym_mig	Round_1_Replicate_6	-1822.14	3652.28	22481.93	394.06	0.3892,0.4009,1.4701,1.4747
sym_mig	Round_1_Replicate_7	-2115.75	4239.5	49480.51	132.79	2.412,2.3505,0.1119,1.1187
sym_mig	Round_1_Replicate_8	-971.68	1951.36	1721.12	136.81	0.4329,1.5555,0.1176,6.4984
sym_mig	Round_1_Replicate_9	-4478.96	8965.92	7181338.06	143.91	0.3645,4.3996,1.697,2.4085
sym_mig	Round_1_Replicate_10	-3806.02	7620.04	806452.53	262.5	0.1101,2.7072,2.6715,5.2521
sym_mig	Round_2_Replicate_1	-736.39	1480.78	960.52	98.39	1.7302,1.407,0.1068,8.1484
sym_mig	Round_2_Replicate_2	-640.09	1288.18	755.23	220.35	0.7888,0.6723,0.1146,2.258
sym_mig	Round_2_Replicate_3	-1260.13	2528.26	3583.11	70.7	0.5139,2.6862,0.0295,14.6151
sym_mig	Round_2_Replicate_4	-785.82	1579.64	1063.74	99.18	1.3419,1.5626,0.1258,9.9786
sym_mig	Round_2_Replicate_5	-665.93	1339.86	898.67	184.88	0.6685,0.573,0.179,13.1185
sym_mig	Round_2_Replicate_6	-900.37	1808.74	1379.21	207.61	0.3948,0.8609,0.2864,8.1507
sym_mig	Round_2_Replicate_7	-776.67	1561.34	1161.22	172.5	0.4404,0.8195,0.1485,11.3258
sym_mig	Round_2_Replicate_8	-744.68	1497.36	1040.4	128.87	0.6548,1.1089,0.1161,13.5827
sym_mig	Round_2_Replicate_9	-1009.24	2026.48	1935.03	93.67	0.5919,2.4168,0.0604,8.5006
sym_mig	Round_2_Replicate_10	-822.8	1653.6	1236.02	212.52	0.3339,0.7456,0.2168,10.8338
sym_mig	Round_2_Replicate_11	-1644.48	3296.96	5268.55	89.7	0.3081,3.5015,0.118,7.7008
sym_mig	Round_2_Replicate_12	-1039.39	2086.78	2302.52	111.45	0.4711,1.6931,0.0484,8.2291
sym_mig	Round_2_Replicate_13	-671.78	1351.56	972.43	220.79	0.7958,0.4419,0.1765,4.0063
sym_mig	Round_2_Replicate_14	-765.48	1538.96	1445.91	171.77	1.0813,0.3952,0.1588,8.7979
sym_mig	Round_2_Replicate_15	-1665.49	3338.98	7896.22	124.54	0.1933,1.8866,0.0279,5.8442
sym_mig	Round_2_Replicate_16	-1152.94	2313.88	3507.58	127.61	0.4673,1.5756,0.0222,5.6136
sym_mig	Round_2_Replicate_17	-786.66	1581.32	1279.9	87.34	0.9761,1.6947,0.0452,12.2607
sym_mig	Round_2_Replicate_18	-1400.91	2809.82	4357.54	64.74	0.4307,3.5858,0.0366,14.2709
sym_mig	Round_2_Replicate_19	-666.25	1340.5	796.0	152.74	0.8567,0.9297,0.1306,5.9421
sym_mig	Round_2_Replicate_20	-929.56	1867.12	1619.5	126.1	0.458,1.4334,0.1169,11.3356
sym_mig	Round_3_Replicate_1	-640.64	1289.28	794.25	229.31	0.809,0.5965,0.1108,2.1517
sym_mig	Round_3_Replicate_2	-636.97	1281.94	782.95	203.2	0.8178,0.6725,0.1139,2.9835
sym_mig	Round_3_Replicate_3	-717.32	1442.64	905.82	242.3	0.9568,0.6381,0.0835,1.1573
sym_mig	Round_3_Replicate_4	-640.92	1289.84	814.85	243.16	0.6211,0.5164,0.1623,2.9434
sym_mig	Round_3_Replicate_5	-637.75	1283.5	781.78	138.34	1.2033,1.0155,0.0735,4.7775
sym_mig	Round_3_Replicate_6	-695.94	1399.88	906.64	174.38	1.0376,1.0748,0.0436,2.2225
sym_mig	Round_3_Replicate_7	-640.61	1289.22	783.21	150.1	1.213,0.9217,0.078,4.0083
sym_mig	Round_3_Replicate_8	-641.1	1290.2	757.07	138.46	1.2461,1.0642,0.0754,4.4079
sym_mig	Round_3_Replicate_9	-645.66	1299.32	758.78	250.81	0.7228,0.6204,0.1082,1.5671
