Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T)
sym_mig	Round_1_Replicate_1	-640.22	1288.44	824.82	428.25	0.3442,0.2785,0.3033,1.1235
sym_mig	Round_1_Replicate_2	-4260.12	8528.24	5770944.37	206.77	0.9908,3.9189,0.1793,0.2476
sym_mig	Round_1_Replicate_3	-928.52	1865.04	1639.1	101.27	3.7213,0.8303,0.0469,4.3478
sym_mig	Round_1_Replicate_4	-662.27	1332.54	857.14	146.96	0.8159,0.8355,0.1226,8.6572
sym_mig	Round_1_Replicate_5	-2827.41	5662.82	37416.81	211.34	0.1239,5.0917,0.7053,0.3476
sym_mig	Round_1_Replicate_6	-2286.58	4581.16	10923.2	223.67	0.1568,6.6241,0.0964,0.2211
sym_mig	Round_1_Replicate_7	-920.12	1848.24	1480.61	536.52	0.0735,0.2142,0.2229,0.1009
sym_mig	Round_1_Replicate_8	-2112.94	4233.88	10369.52	319.18	0.0535,0.973,0.7138,8.1877
sym_mig	Round_1_Replicate_9	-2363.54	4735.08	59054.27	167.2	5.0599,1.072,0.0961,0.6573
sym_mig	Round_1_Replicate_10	-1647.19	3302.38	9948.73	396.87	0.2061,0.5741,1.1756,4.5166
sym_mig	Round_2_Replicate_1	-694.55	1397.1	847.43	261.7	0.5055,0.5155,0.2819,3.6773
sym_mig	Round_2_Replicate_2	-875.34	1758.68	1630.6	403.49	0.5976,0.182,0.494,1.112
sym_mig	Round_2_Replicate_3	-1008.28	2024.56	1975.52	349.86	0.9864,0.2171,0.1158,0.3719
sym_mig	Round_2_Replicate_4	-810.78	1629.56	1215.25	244.49	1.206,0.4625,0.1424,1.2031
sym_mig	Round_2_Replicate_5	-662.04	1332.08	869.2	527.77	0.2463,0.208,0.5109,1.5511
sym_mig	Round_2_Replicate_6	-603.11	1214.22	733.31	524.32	0.2423,0.2172,0.278,0.3866
sym_mig	Round_2_Replicate_7	-672.55	1353.1	968.84	386.88	0.3172,0.2597,0.3312,4.074
sym_mig	Round_2_Replicate_8	-862.89	1733.78	1403.3	177.29	0.9483,1.0002,0.2052,2.7566
sym_mig	Round_2_Replicate_9	-700.37	1408.74	957.46	233.23	1.0302,0.4887,0.1292,1.8351
sym_mig	Round_2_Replicate_10	-924.42	1856.84	1670.45	291.77	1.0554,0.3637,0.2264,0.7371
sym_mig	Round_3_Replicate_1	-619.01	1246.02	806.44	500.8	0.2901,0.2235,0.2849,0.546
sym_mig	Round_3_Replicate_2	-607.66	1223.32	762.81	471.05	0.307,0.2547,0.1723,0.4486
sym_mig	Round_3_Replicate_3	-603.86	1215.72	735.23	542.57	0.2264,0.2037,0.3166,0.3651
sym_mig	Round_3_Replicate_4	-599.63	1207.26	726.05	513.75	0.2447,0.2186,0.1947,0.3238
sym_mig	Round_3_Replicate_5	-595.4	1198.8	761.08	623.21	0.1584,0.1402,0.3589,0.2208
sym_mig	Round_3_Replicate_6	-615.2	1238.4	732.33	509.31	0.265,0.219,0.3254,0.3704
sym_mig	Round_3_Replicate_7	-649.07	1306.14	816.47	521.03	0.2594,0.2237,0.4654,0.7747
sym_mig	Round_3_Replicate_8	-617.02	1242.04	738.72	424.19	0.3429,0.326,0.1662,0.5792
sym_mig	Round_3_Replicate_9	-610.57	1229.14	776.31	472.37	0.2996,0.26,0.1829,0.4955
sym_mig	Round_3_Replicate_10	-618.13	1244.26	795.57	444.59	0.3508,0.2733,0.194,0.6146
sym_mig	Round_3_Replicate_11	-613.31	1234.62	744.75	479.43	0.2891,0.2586,0.2639,0.5404
sym_mig	Round_3_Replicate_12	-593.24	1194.48	752.53	571.02	0.1914,0.1698,0.2068,0.2478
sym_mig	Round_3_Replicate_13	-613.75	1235.5	759.09	512.07	0.2666,0.2246,0.3196,0.4864
sym_mig	Round_3_Replicate_14	-610.57	1229.14	731.3	498.82	0.242,0.2564,0.2165,0.4082
sym_mig	Round_3_Replicate_15	-617.99	1243.98	741.4	466.37	0.3102,0.2661,0.2855,0.582
sym_mig	Round_3_Replicate_16	-600.05	1208.1	721.8	513.89	0.2415,0.2249,0.211,0.3438
sym_mig	Round_3_Replicate_17	-604.75	1217.5	749.03	557.4	0.2203,0.1886,0.3482,0.3485
sym_mig	Round_3_Replicate_18	-598.3	1204.6	730.86	533.41	0.2315,0.2046,0.2509,0.3329
sym_mig	Round_3_Replicate_19	-638.72	1285.44	820.28	568.68	0.2323,0.1865,0.5062,0.5068
sym_mig	Round_3_Replicate_20	-618.24	1244.48	763.72	499.08	0.2857,0.2307,0.3285,0.5231
