Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T)
sym_mig	Round_1_Replicate_1	-1841.08	3690.16	25013.68	113.6	2.9829,2.3231,0.1046,1.6355
sym_mig	Round_1_Replicate_2	-3871.29	7750.58	526819.69	202.21	0.1019,4.7799,2.1978,2.481
sym_mig	Round_1_Replicate_3	-5484.11	10976.22	140602379.48	219.85	1.0067,1.9582,1.731,0.3296
sym_mig	Round_1_Replicate_4	-940.44	1888.88	2324.59	288.26	0.5085,0.1897,0.1531,4.6103
sym_mig	Round_1_Replicate_5	-787.06	1582.12	1107.73	774.53	0.1851,0.159,1.1609,4.5292
sym_mig	Round_1_Replicate_6	-2083.18	4174.36	35912.54	414.82	0.666,0.1648,1.9758,0.1984
sym_mig	Round_1_Replicate_7	-1385.69	2779.38	4476.49	97.58	4.0362,0.3247,0.1053,6.9464
sym_mig	Round_1_Replicate_8	-5561.35	11130.7	147514516.62	194.21	2.1549,2.4837,0.6537,0.318
sym_mig	Round_1_Replicate_9	-9923.12	19854.24	1.07183360644e+12	152.29	5.5512,3.4171,2.321,0.4238
sym_mig	Round_1_Replicate_10	-5410.58	10829.16	139672664.25	190.91	0.7728,1.1492,2.8795,3.0599
sym_mig	Round_2_Replicate_1	-2201.55	4411.1	57337.16	344.24	0.3518,0.5718,1.5398,5.4858
sym_mig	Round_2_Replicate_2	-684.02	1376.04	1008.59	355.93	0.3219,0.2759,0.3097,11.3686
sym_mig	Round_2_Replicate_3	-667.67	1343.34	920.08	1275.78	0.1004,0.0791,1.2654,5.7976
sym_mig	Round_2_Replicate_4	-1004.58	2017.16	2145.3	433.71	0.4829,0.2095,0.8393,4.4631
sym_mig	Round_2_Replicate_5	-1492.8	2993.6	5738.17	464.8	0.7086,0.1041,1.214,7.4015
sym_mig	Round_2_Replicate_6	-745.38	1498.76	1079.28	836.18	0.1989,0.1164,1.1231,5.5322
sym_mig	Round_2_Replicate_7	-684.13	1376.26	970.35	864.55	0.1245,0.1226,0.7687,4.3598
sym_mig	Round_2_Replicate_8	-1150.5	2309.0	3132.18	522.25	0.2407,0.3111,1.1657,10.5772
sym_mig	Round_2_Replicate_9	-678.03	1364.06	870.49	1334.9	0.0839,0.0888,1.3786,8.7995
sym_mig	Round_2_Replicate_10	-688.08	1384.16	931.82	913.01	0.1116,0.1238,0.9038,1.5383
sym_mig	Round_2_Replicate_11	-723.62	1455.24	1265.34	1111.49	0.1417,0.0663,1.0622,9.3827
sym_mig	Round_2_Replicate_12	-1498.67	3005.34	5499.44	556.63	0.5771,0.0484,1.0414,1.6281
sym_mig	Round_2_Replicate_13	-952.43	1912.86	2122.98	1357.46	0.1705,0.04,1.8549,14.209
sym_mig	Round_2_Replicate_14	-687.19	1382.38	881.27	363.39	0.3708,0.3088,0.4264,7.1144
sym_mig	Round_2_Replicate_15	-667.18	1342.36	904.94	1007.61	0.1252,0.1027,1.0087,5.6043
sym_mig	Round_2_Replicate_16	-681.87	1371.74	931.64	824.45	0.175,0.1206,0.9266,3.887
sym_mig	Round_2_Replicate_17	-735.45	1478.9	1002.52	678.73	0.224,0.1597,0.918,3.7273
sym_mig	Round_2_Replicate_18	-932.77	1873.54	1577.52	1227.04	0.09,0.1316,2.1065,7.6634
sym_mig	Round_2_Replicate_19	-727.64	1463.28	938.97	543.2	0.2468,0.2241,0.7181,5.308
sym_mig	Round_2_Replicate_20	-671.06	1350.12	885.02	1696.77	0.0774,0.0625,1.8231,3.6458
sym_mig	Round_3_Replicate_1	-669.53	1347.06	876.97	485.03	0.2468,0.2283,0.4948,14.4076
sym_mig	Round_3_Replicate_2	-667.65	1343.3	891.88	548.69	0.2319,0.1917,0.5637,14.2925
sym_mig	Round_3_Replicate_3	-667.25	1342.5	897.06	1012.53	0.1238,0.1035,1.0218,4.5858
sym_mig	Round_3_Replicate_4	-679.47	1366.94	969.93	870.83	0.1294,0.1179,0.7788,12.315
sym_mig	Round_3_Replicate_5	-667.31	1342.62	909.21	1261.17	0.099,0.0819,1.2468,7.774
sym_mig	Round_3_Replicate_6	-667.34	1342.68	898.4	1627.3	0.0781,0.064,1.6531,3.2645
