Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T)
sym_mig	Round_3_Replicate_27	-639.04	1286.08	775.4	73.6	2.1178,1.9271,0.0428,10.5459
sym_mig	Round_3_Replicate_28	-638.03	1284.06	796.96	87.7	1.9201,1.5131,0.0495,8.6064
sym_mig	Round_3_Replicate_29	-637.69	1283.38	790.15	53.86	3.0433,2.5227,0.0303,14.7018
sym_mig	Round_3_Replicate_30	-641.45	1290.9	796.64	74.31	2.0408,1.7289,0.052,12.2315
sym_mig	Round_3_Replicate_31	-655.72	1319.44	907.2	76.34	2.0599,1.3727,0.0597,14.755
sym_mig	Round_3_Replicate_32	-638.34	1284.68	787.5	112.14	1.5465,1.2188,0.0602,6.1053
sym_mig	Round_3_Replicate_33	-638.17	1284.34	772.03	106.34	1.5465,1.3414,0.0584,6.5572
sym_mig	Round_3_Replicate_34	-644.48	1296.96	830.81	52.21	3.2528,2.7292,0.0223,13.7908
sym_mig	Round_3_Replicate_35	-644.74	1297.48	791.58	46.07	4.0874,3.1157,0.0211,14.5445
sym_mig	Round_3_Replicate_36	-638.89	1285.78	779.06	48.85	3.4844,2.9393,0.0248,14.9164
sym_mig	Round_3_Replicate_37	-637.71	1283.42	780.46	62.94	2.63,2.1941,0.0355,12.1542
sym_mig	Round_3_Replicate_38	-637.7	1283.4	789.03	64.99	2.5502,2.0757,0.0371,11.9945
sym_mig	Round_3_Replicate_39	-638.45	1284.9	778.09	69.24	2.2804,1.9891,0.042,11.5464
sym_mig	Round_3_Replicate_40	-644.08	1296.16	779.43	45.5	4.0983,3.1848,0.0218,14.7837
sym_mig	Round_3_Replicate_41	-638.19	1284.38	790.27	58.28	2.9427,2.3156,0.0322,13.0596
sym_mig	Round_3_Replicate_42	-638.08	1284.16	789.7	54.26	3.1177,2.4627,0.0312,14.466
sym_mig	Round_3_Replicate_43	-650.82	1309.64	810.45	82.37	1.6603,1.8055,0.0463,9.7977
sym_mig	Round_3_Replicate_44	-641.12	1290.24	799.72	61.94	2.9356,2.222,0.0301,11.3016
sym_mig	Round_3_Replicate_45	-643.64	1295.28	801.7	99.58	1.5111,1.2633,0.0739,9.2858
sym_mig	Round_3_Replicate_46	-639.36	1286.72	787.5	61.74	2.7971,2.307,0.0303,11.4941
sym_mig	Round_3_Replicate_47	-645.66	1299.32	828.48	79.6	1.7544,1.5917,0.0541,12.3397
sym_mig	Round_3_Replicate_48	-643.55	1295.1	798.51	78.83	1.8211,1.7868,0.0468,10.5613
sym_mig	Round_3_Replicate_49	-643.7	1295.4	761.79	47.32	3.7485,3.2114,0.0232,14.1852
sym_mig	Round_3_Replicate_50	-637.79	1283.58	792.57	70.21	2.309,1.9109,0.0407,11.3141
