Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T)
sym_mig	Round_1_Replicate_1	-1311.14	2630.28	4018.06	531.96	0.5479,0.1004,1.2102,2.2202
sym_mig	Round_1_Replicate_2	-2224.26	4456.52	49910.8	55.03	6.7139,1.2316,0.2635,24.734
sym_mig	Round_1_Replicate_3	-2755.76	5519.52	68736.45	94.67	0.3159,4.5551,0.4986,13.6363
sym_mig	Round_1_Replicate_4	-927.6	1863.2	1859.78	75.66	3.9665,0.8687,0.0687,9.62
sym_mig	Round_1_Replicate_5	-675.54	1359.08	901.48	334.1	0.6298,0.3374,0.2144,1.0943
sym_mig	Round_1_Replicate_6	-715.64	1439.28	868.85	62.2	2.2911,3.4205,0.0249,8.6866
sym_mig	Round_1_Replicate_7	-636.89	1281.78	789.41	339.37	0.4477,0.3867,0.216,1.5189
sym_mig	Round_1_Replicate_8	-1421.51	2851.02	5075.01	491.73	0.1517,0.4437,1.2163,1.6201
sym_mig	Round_1_Replicate_9	-715.13	1438.26	858.73	324.08	0.4205,0.6058,0.113,0.6873
sym_mig	Round_1_Replicate_10	-2824.75	5657.5	40034.31	240.81	0.0715,2.088,1.1735,1.7585
sym_mig	Round_2_Replicate_1	-642.4	1292.8	753.74	228.53	0.7421,0.6836,0.1087,2.0219
sym_mig	Round_2_Replicate_2	-752.46	1512.92	1054.41	263.0	1.011,0.4999,0.068,0.9536
sym_mig	Round_2_Replicate_3	-945.33	1898.66	1731.05	163.87	1.6754,1.2162,0.0112,1.4377
sym_mig	Round_2_Replicate_4	-1471.57	2951.14	7510.63	228.58	0.4928,0.838,0.6328,5.4777
sym_mig	Round_2_Replicate_5	-654.2	1316.4	806.1	292.89	0.6097,0.5496,0.0851,1.0294
sym_mig	Round_2_Replicate_6	-638.19	1284.38	760.31	237.56	0.7245,0.6188,0.1197,2.0339
sym_mig	Round_2_Replicate_7	-652.25	1312.5	839.73	323.44	0.4734,0.3544,0.2742,2.3225
sym_mig	Round_2_Replicate_8	-685.82	1379.64	1079.93	227.15	0.6765,0.4554,0.1167,3.6086
sym_mig	Round_2_Replicate_9	-1118.58	2245.16	2330.23	270.86	1.6474,0.3295,0.1213,0.5701
sym_mig	Round_2_Replicate_10	-647.99	1303.98	780.21	317.8	0.6092,0.4451,0.1273,0.9204
sym_mig	Round_3_Replicate_1	-710.43	1428.86	999.34	283.02	0.8508,0.4615,0.0662,0.9498
sym_mig	Round_3_Replicate_2	-644.61	1297.22	744.24	308.83	0.545,0.5194,0.1268,1.0088
sym_mig	Round_3_Replicate_3	-646.9	1301.8	747.79	314.34	0.5136,0.5243,0.1245,0.9661
sym_mig	Round_3_Replicate_4	-647.36	1302.72	753.54	275.22	0.6007,0.5995,0.1154,1.3253
sym_mig	Round_3_Replicate_5	-637.69	1283.38	765.3	278.49	0.6459,0.5032,0.1435,1.5351
sym_mig	Round_3_Replicate_6	-684.47	1376.94	939.1	294.05	0.7696,0.4401,0.0814,0.9874
sym_mig	Round_3_Replicate_7	-648.49	1304.98	858.76	292.53	0.4973,0.3891,0.2233,2.8414
sym_mig	Round_3_Replicate_8	-637.23	1282.46	743.38	325.58	0.5006,0.4798,0.1356,0.9785
sym_mig	Round_3_Replicate_9	-634.14	1276.28	775.23	307.53	0.5331,0.4403,0.175,1.5412
sym_mig	Round_3_Replicate_10	-643.03	1294.06	813.81	248.83	0.5836,0.5055,0.1753,3.0331
sym_mig	Round_3_Replicate_11	-636.23	1280.46	792.08	269.89	0.5944,0.5029,0.1484,2.0096
sym_mig	Round_3_Replicate_12	-636.79	1281.58	775.95	232.87	0.7167,0.588,0.1337,2.426
sym_mig	Round_3_Replicate_13	-653.4	1314.8	889.77	446.75	0.3007,0.2589,0.3076,1.3006
sym_mig	Round_3_Replicate_14	-626.21	1260.42	749.73	365.04	0.4561,0.3804,0.1684,0.8666
sym_mig	Round_3_Replicate_15	-667.21	1342.42	813.46	272.9	0.6665,0.6189,0.0776,1.0892
sym_mig	Round_3_Replicate_16	-641.68	1291.36	828.61	238.96	0.6589,0.5064,0.1601,3.0092
sym_mig	Round_3_Replicate_17	-628.38	1264.76	763.52	352.93	0.4651,0.391,0.1736,1.0361
sym_mig	Round_3_Replicate_18	-631.46	1270.92	766.63	328.55	0.5078,0.4187,0.1718,1.2399
sym_mig	Round_3_Replicate_19	-646.85	1301.7	777.1	335.95	0.5061,0.4666,0.0986,0.7581
sym_mig	Round_3_Replicate_20	-680.62	1369.24	889.9	298.27	0.7605,0.4263,0.1122,0.983
